"SubjID","Sess","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again"
"S052","s01-17",1,1,8,2,44,78,34,1,6,18,"#NULL!","#NULL!",6,18,12,6,17,"#NULL!","#NULL!",-0.58,1.99,"#NULL!","#NULL!",44,"#NULL!","#NULL!",78,0,34,12
"S053","s01-03",1,1,2,2,45,39,-6,2,"#NULL!","#NULL!",7,4,7,4,-3,"#NULL!","#NULL!",6,4,"#NULL!","#NULL!",-0.49,-1.59,"#NULL!",45,39,"#NULL!",0,62,-3
"S054","s01-08",1,1,7,2,70,69,-1,1,16,16,"#NULL!","#NULL!",16,16,0,15,14,"#NULL!","#NULL!",1.97,1.25,"#NULL!","#NULL!",70,"#NULL!","#NULL!",69,0,"#NULL!",0
"S055","s01-01",1,2,7,2,48,53,5,2,"#NULL!","#NULL!",7,9,7,9,2,"#NULL!","#NULL!",7,9,"#NULL!","#NULL!",-0.19,-0.23,"#NULL!",48,53,"#NULL!",0,62,2
"S056","s01-12",1,2,8,2,41,51,10,1,5,9,"#NULL!","#NULL!",5,9,4,5,8,"#NULL!","#NULL!",-0.86,-0.25,"#NULL!","#NULL!",41,"#NULL!","#NULL!",51,0,62,4
"S057","s01-09",1,2,7,2,48,67,19,2,"#NULL!","#NULL!",7,15,7,15,8,"#NULL!","#NULL!",7,14,"#NULL!","#NULL!",-0.19,1.12,"#NULL!",48,67,"#NULL!",0,"#NULL!",8
"S058","s01-02",1,1,4,2,56,54,-2,1,10,9,"#NULL!","#NULL!",10,9,-1,10,9,"#NULL!","#NULL!",0.55,0,"#NULL!","#NULL!",56,"#NULL!","#NULL!",54,0,62,-1
"S059","s01-13",1,1,6,2,45,53,8,2,"#NULL!","#NULL!",7,10,7,10,3,"#NULL!","#NULL!",6,9,"#NULL!","#NULL!",-0.49,-0.23,"#NULL!",45,53,"#NULL!",0,57,3
"S060","s01-10",1,1,7,2,50,51,1,1,8,8,"#NULL!","#NULL!",8,8,0,8,8,"#NULL!","#NULL!",-0.01,-0.25,"#NULL!","#NULL!",50,"#NULL!","#NULL!",51,0,"#NULL!",0
"S061","s01-04",1,1,3,2,60,50,-10,2,"#NULL!","#NULL!",11,8,11,8,-3,"#NULL!","#NULL!",11,8,"#NULL!","#NULL!",1.01,-0.5,"#NULL!",60,50,"#NULL!",0,62,-3
"S062","s01-07",1,2,3,2,47,54,7,1,8,10,"#NULL!","#NULL!",8,10,2,7,9,"#NULL!","#NULL!",-0.29,0,"#NULL!","#NULL!",47,"#NULL!","#NULL!",54,0,61,2
"S063","s01-05",1,2,7,2,50,54,4,1,8,10,"#NULL!","#NULL!",8,10,2,8,9,"#NULL!","#NULL!",-0.01,0,"#NULL!","#NULL!",50,"#NULL!","#NULL!",54,0,62,2
"S064","s01-14",1,1,3,2,69,73,4,2,"#NULL!","#NULL!",14,16,14,16,2,"#NULL!","#NULL!",14,16,"#NULL!","#NULL!",1.91,1.66,"#NULL!",69,73,"#NULL!",0,62,2
"S065","s01-15",1,1,2,2,47,66,19,1,7,13,"#NULL!","#NULL!",7,13,6,7,13,"#NULL!","#NULL!",-0.29,1,"#NULL!","#NULL!",47,"#NULL!","#NULL!",66,0,"#NULL!",6
"S066","s01-06",1,2,6,2,39,53,14,2,"#NULL!","#NULL!",4,9,4,9,5,"#NULL!","#NULL!",4,9,"#NULL!","#NULL!",-1.09,-0.23,"#NULL!",39,53,"#NULL!",0,62,5
"S067","s01-11",1,2,3,2,50,48,-2,1,9,7,"#NULL!","#NULL!",9,7,-2,8,7,"#NULL!","#NULL!",-0.01,-0.49,"#NULL!","#NULL!",50,"#NULL!","#NULL!",48,0,60,-2
"S068","s01-16",1,1,6,2,54,50,-4,2,"#NULL!","#NULL!",9,8,9,8,-1,"#NULL!","#NULL!",9,8,"#NULL!","#NULL!",0.41,-0.5,"#NULL!",54,50,"#NULL!",0,"#NULL!",-1
"S074","s02-03",2,2,6,2,61,60,-1,1,12,12,"#NULL!","#NULL!",12,12,0,12,11,"#NULL!","#NULL!",1.12,0.5,"#NULL!","#NULL!",61,"#NULL!","#NULL!",60,0,62,0
"S075","s02-02",2,1,2,2,45,61,16,2,"#NULL!","#NULL!",7,13,7,13,6,"#NULL!","#NULL!",6,12,"#NULL!","#NULL!",-0.49,0.58,"#NULL!",45,61,"#NULL!",0,62,6
"S076","s02-14",2,1,7,2,53,51,-2,1,9,8,"#NULL!","#NULL!",9,8,-1,9,8,"#NULL!","#NULL!",0.27,-0.25,"#NULL!","#NULL!",53,"#NULL!","#NULL!",51,0,"#NULL!",-1
"S077","s02-16",2,2,2,2,70,75,5,1,16,17,"#NULL!","#NULL!",16,17,1,15,16,"#NULL!","#NULL!",1.97,1.74,"#NULL!","#NULL!",70,"#NULL!","#NULL!",75,0,62,1
"S078","s02-10",2,2,6,2,53,54,1,1,10,9,"#NULL!","#NULL!",10,9,-1,9,9,"#NULL!","#NULL!",0.27,0,"#NULL!","#NULL!",53,"#NULL!","#NULL!",54,0,62,-1
"S079","s02-19",2,2,7,2,72,56,-16,2,"#NULL!","#NULL!",15,11,15,11,-4,"#NULL!","#NULL!",15,10,"#NULL!","#NULL!",2.21,0.04,"#NULL!",72,56,"#NULL!",0,"#NULL!",-4
"S080","s02-09",2,2,7,2,45,47,2,2,"#NULL!","#NULL!",6,7,6,7,1,"#NULL!","#NULL!",6,7,"#NULL!","#NULL!",-0.49,-0.78,"#NULL!",45,47,"#NULL!",0,62,1
"S081","s02-15",2,1,7,2,61,54,-7,1,12,10,"#NULL!","#NULL!",12,10,-2,12,9,"#NULL!","#NULL!",1.12,0,"#NULL!","#NULL!",61,"#NULL!","#NULL!",54,0,62,-2
"S082","s02-05",2,2,7,2,57,39,-18,2,"#NULL!","#NULL!",10,4,10,4,-6,"#NULL!","#NULL!",10,4,"#NULL!","#NULL!",0.71,-1.59,"#NULL!",57,39,"#NULL!",1,"#NULL!",-6
"S083","s02-06",2,2,7,2,63,41,-22,2,"#NULL!","#NULL!",12,6,12,6,-6,"#NULL!","#NULL!",12,5,"#NULL!","#NULL!",1.31,-1.32,"#NULL!",63,41,"#NULL!",1,62,-6
"S084","s02-13",2,2,7,2,56,48,-8,1,11,7,"#NULL!","#NULL!",11,7,-4,10,7,"#NULL!","#NULL!",0.55,-0.49,"#NULL!","#NULL!",56,"#NULL!","#NULL!",48,0,62,-4
"S085","s02-12",2,2,6,2,51,56,5,2,"#NULL!","#NULL!",8,10,8,10,2,"#NULL!","#NULL!",8,10,"#NULL!","#NULL!",0.11,0.04,"#NULL!",51,56,"#NULL!",0,"#NULL!",2
"S086","s02-07",2,2,7,2,63,67,4,2,"#NULL!","#NULL!",12,14,12,14,2,"#NULL!","#NULL!",12,14,"#NULL!","#NULL!",1.31,1.12,"#NULL!",63,67,"#NULL!",0,62,2
"S087","s02-08",2,2,7,2,53,51,-2,1,10,8,"#NULL!","#NULL!",10,8,-2,9,8,"#NULL!","#NULL!",0.27,-0.25,"#NULL!","#NULL!",53,"#NULL!","#NULL!",51,0,62,-2
"S088","s02-04",2,2,7,2,48,58,10,2,"#NULL!","#NULL!",8,11,8,11,3,"#NULL!","#NULL!",7,11,"#NULL!","#NULL!",-0.19,0.31,"#NULL!",48,58,"#NULL!",0,"#NULL!",3
"S089","s02-17",2,2,7,2,42,61,19,2,"#NULL!","#NULL!",5,12,5,12,7,"#NULL!","#NULL!",5,12,"#NULL!","#NULL!",-0.79,0.58,"#NULL!",42,61,"#NULL!",0,49,7
"S090","s02-18",2,2,7,2,56,51,-5,1,10,9,"#NULL!","#NULL!",10,9,-1,10,8,"#NULL!","#NULL!",0.55,-0.25,"#NULL!","#NULL!",56,"#NULL!","#NULL!",51,0,62,-1
"S091","s02-01",2,2,4,2,57,67,10,2,"#NULL!","#NULL!",11,14,11,14,3,"#NULL!","#NULL!",10,14,"#NULL!","#NULL!",0.71,1.12,"#NULL!",57,67,"#NULL!",0,"#NULL!",3
"S097","s03-18",3,1,2,2,61,57,-4,1,12,10,"#NULL!","#NULL!",12,10,-2,12,10,"#NULL!","#NULL!",1.12,0.25,"#NULL!","#NULL!",61,"#NULL!","#NULL!",57,0,62,-2
"S098","s03-07",3,1,2,2,54,64,10,2,"#NULL!","#NULL!",9,13,9,13,4,"#NULL!","#NULL!",9,13,"#NULL!","#NULL!",0.41,0.85,"#NULL!",54,64,"#NULL!",0,62,4
"S099","s03-03",3,1,3,2,41,51,10,1,5,9,"#NULL!","#NULL!",5,9,4,5,8,"#NULL!","#NULL!",-0.86,-0.25,"#NULL!","#NULL!",41,"#NULL!","#NULL!",51,0,"#NULL!",4
"S100","s03-08",3,1,7,2,63,58,-5,2,"#NULL!","#NULL!",12,11,12,11,-1,"#NULL!","#NULL!",12,11,"#NULL!","#NULL!",1.31,0.31,"#NULL!",63,58,"#NULL!",0,62,-1
"S101","s03-02",3,1,2,2,56,48,-8,1,11,7,"#NULL!","#NULL!",11,7,-4,10,7,"#NULL!","#NULL!",0.55,-0.49,"#NULL!","#NULL!",56,"#NULL!","#NULL!",48,0,62,-4
"S102","s03-06",3,1,7,2,63,67,4,2,"#NULL!","#NULL!",12,15,12,15,3,"#NULL!","#NULL!",12,14,"#NULL!","#NULL!",1.31,1.12,"#NULL!",63,67,"#NULL!",0,"#NULL!",3
"S103","s03-10",3,1,6,2,61,78,17,1,13,18,"#NULL!","#NULL!",13,18,5,12,17,"#NULL!","#NULL!",1.12,1.99,"#NULL!","#NULL!",61,"#NULL!","#NULL!",78,0,50,5
"S104","s03-16",3,1,7,2,42,53,11,2,"#NULL!","#NULL!",5,9,5,9,4,"#NULL!","#NULL!",5,9,"#NULL!","#NULL!",-0.79,-0.23,"#NULL!",42,53,"#NULL!",0,62,4
"S105","s03-15",3,1,7,2,50,54,4,1,8,10,"#NULL!","#NULL!",8,10,2,8,9,"#NULL!","#NULL!",-0.01,0,"#NULL!","#NULL!",50,"#NULL!","#NULL!",54,0,"#NULL!",2
"S106","s03-09",3,1,8,2,57,73,16,2,"#NULL!","#NULL!",10,16,10,16,6,"#NULL!","#NULL!",10,16,"#NULL!","#NULL!",0.71,1.66,"#NULL!",57,73,"#NULL!",0,55,6
"S107","s03-12",3,2,7,2,47,45,-2,1,8,6,"#NULL!","#NULL!",8,6,-2,7,6,"#NULL!","#NULL!",-0.29,-0.74,"#NULL!","#NULL!",47,"#NULL!","#NULL!",45,0,57,-2
"S108","s03-17",3,1,6,2,57,73,16,2,"#NULL!","#NULL!",10,16,10,16,6,"#NULL!","#NULL!",10,16,"#NULL!","#NULL!",0.71,1.66,"#NULL!",57,73,"#NULL!",0,"#NULL!",6
"S109","s03-13",3,2,6,2,50,54,4,1,8,9,"#NULL!","#NULL!",8,9,1,8,9,"#NULL!","#NULL!",-0.01,0,"#NULL!","#NULL!",50,"#NULL!","#NULL!",54,0,62,1
"S110","s03-11",3,2,6,2,63,76,13,2,"#NULL!","#NULL!",12,17,12,17,5,"#NULL!","#NULL!",12,17,"#NULL!","#NULL!",1.31,1.93,"#NULL!",63,76,"#NULL!",0,61,5
"S111","s03-04",3,2,5,2,56,54,-2,1,10,9,"#NULL!","#NULL!",10,9,-1,10,9,"#NULL!","#NULL!",0.55,0,"#NULL!","#NULL!",56,"#NULL!","#NULL!",54,0,"#NULL!",-1
"S112","s03-14",3,2,3,2,54,61,7,2,"#NULL!","#NULL!",9,13,9,13,4,"#NULL!","#NULL!",9,12,"#NULL!","#NULL!",0.41,0.58,"#NULL!",54,61,"#NULL!",0,36,4
"S113","s03-01",3,1,6,2,44,63,19,1,6,13,"#NULL!","#NULL!",6,13,7,6,12,"#NULL!","#NULL!",-0.58,0.75,"#NULL!","#NULL!",44,"#NULL!","#NULL!",63,0,62,7
"S114","s03-05",3,1,7,2,66,70,4,2,"#NULL!","#NULL!",13,15,13,15,2,"#NULL!","#NULL!",13,15,"#NULL!","#NULL!",1.61,1.39,"#NULL!",66,70,"#NULL!",0,"#NULL!",2
"S119","s04-17",4,1,2,1,58,63,5,1,12,12,"#NULL!","#NULL!",12,12,0,11,12,"#NULL!","#NULL!",0.84,0.75,"#NULL!","#NULL!",58,"#NULL!","#NULL!",63,0,62,0
"S120","s04-03",4,1,3,1,51,70,19,2,"#NULL!","#NULL!",9,16,9,16,7,"#NULL!","#NULL!",8,15,"#NULL!","#NULL!",0.11,1.39,"#NULL!",51,70,"#NULL!",0,62,7
"S121","s04-12",4,1,2,1,70,81,11,1,15,19,"#NULL!","#NULL!",15,19,4,15,18,"#NULL!","#NULL!",1.97,2.24,"#NULL!","#NULL!",70,"#NULL!","#NULL!",81,0,"#NULL!",4
"S122","s04-05",4,1,7,1,75,58,-17,2,"#NULL!","#NULL!",16,12,16,12,-4,"#NULL!","#NULL!",16,11,"#NULL!","#NULL!",2.51,0.31,"#NULL!",75,58,"#NULL!",0,62,-4
"S123","s04-13",4,1,6,1,56,72,16,1,10,16,"#NULL!","#NULL!",10,16,6,10,15,"#NULL!","#NULL!",0.55,1.49,"#NULL!","#NULL!",56,"#NULL!","#NULL!",72,0,62,6
"S124","s04-06",4,2,6,1,57,70,13,2,"#NULL!","#NULL!",12,15,12,15,3,"#NULL!","#NULL!",10,15,"#NULL!","#NULL!",0.71,1.39,"#NULL!",57,70,"#NULL!",0,"#NULL!",3
"S125","s04-10",4,1,7,1,50,60,10,1,8,11,"#NULL!","#NULL!",8,11,3,8,11,"#NULL!","#NULL!",-0.01,0.5,"#NULL!","#NULL!",50,"#NULL!","#NULL!",60,0,62,3
"S126","s04-08",4,1,7,1,45,47,2,2,"#NULL!","#NULL!",7,7,7,7,0,"#NULL!","#NULL!",6,7,"#NULL!","#NULL!",-0.49,-0.78,"#NULL!",45,47,"#NULL!",0,62,0
"S127","s04-07",4,1,7,1,64,60,-4,1,13,11,"#NULL!","#NULL!",13,11,-2,13,11,"#NULL!","#NULL!",1.4,0.5,"#NULL!","#NULL!",64,"#NULL!","#NULL!",60,0,"#NULL!",-2
"S128","s04-02",4,2,2,1,54,67,13,2,"#NULL!","#NULL!",10,14,10,14,4,"#NULL!","#NULL!",9,14,"#NULL!","#NULL!",0.41,1.12,"#NULL!",54,67,"#NULL!",0,62,4
"S129","s04-01",4,2,2,1,78,84,6,1,19,20,"#NULL!","#NULL!",19,20,1,18,19,"#NULL!","#NULL!",2.82,2.49,"#NULL!","#NULL!",78,"#NULL!","#NULL!",84,0,62,1
"S130","s04-14",4,2,6,1,45,67,22,2,"#NULL!","#NULL!",6,14,6,14,8,"#NULL!","#NULL!",6,14,"#NULL!","#NULL!",-0.49,1.12,"#NULL!",45,67,"#NULL!",0,"#NULL!",8
"S131","s04-16",4,2,7,1,58,75,17,1,12,18,"#NULL!","#NULL!",12,18,6,11,16,"#NULL!","#NULL!",0.84,1.74,"#NULL!","#NULL!",58,"#NULL!","#NULL!",75,0,62,6
"S132","s04-11",4,2,7,1,57,61,4,2,"#NULL!","#NULL!",11,13,11,13,2,"#NULL!","#NULL!",10,12,"#NULL!","#NULL!",0.71,0.58,"#NULL!",57,61,"#NULL!",0,62,2
"S133","s04-18",4,2,7,1,50,54,4,1,8,10,"#NULL!","#NULL!",8,10,2,8,9,"#NULL!","#NULL!",-0.01,0,"#NULL!","#NULL!",50,"#NULL!","#NULL!",54,0,"#NULL!",2
"S134","s04-09",4,2,6,1,60,67,7,2,"#NULL!","#NULL!",12,15,12,15,3,"#NULL!","#NULL!",11,14,"#NULL!","#NULL!",1.01,1.12,"#NULL!",60,67,"#NULL!",0,62,3
"S135","s04-15",4,1,3,1,56,60,4,1,10,11,"#NULL!","#NULL!",10,11,1,10,11,"#NULL!","#NULL!",0.55,0.5,"#NULL!","#NULL!",56,"#NULL!","#NULL!",60,0,62,1
"S136","s04-04",4,1,7,1,60,64,4,2,"#NULL!","#NULL!",11,13,11,13,2,"#NULL!","#NULL!",11,13,"#NULL!","#NULL!",1.01,0.85,"#NULL!",60,64,"#NULL!",0,"#NULL!",2
"S140","s05-11",5,1,6,1,39,48,9,1,4,8,"#NULL!","#NULL!",4,8,4,4,7,"#NULL!","#NULL!",-1.14,-0.49,"#NULL!","#NULL!",39,"#NULL!","#NULL!",48,0,32,4
"S141","s05-07",5,1,3,1,57,53,-4,2,"#NULL!","#NULL!",10,9,10,9,-1,"#NULL!","#NULL!",10,9,"#NULL!","#NULL!",0.71,-0.23,"#NULL!",57,53,"#NULL!",0,62,-1
"S142","s05-06",5,1,7,1,50,57,7,1,8,10,"#NULL!","#NULL!",8,10,2,8,10,"#NULL!","#NULL!",-0.01,0.25,"#NULL!","#NULL!",50,"#NULL!","#NULL!",57,0,"#NULL!",2
"S143","s05-03",5,1,7,1,63,67,4,2,"#NULL!","#NULL!",12,15,12,15,3,"#NULL!","#NULL!",12,14,"#NULL!","#NULL!",1.31,1.12,"#NULL!",63,67,"#NULL!",0,61,3
"S144","s05-10",5,1,7,1,64,69,5,1,14,16,"#NULL!","#NULL!",14,16,2,13,14,"#NULL!","#NULL!",1.4,1.25,"#NULL!","#NULL!",64,"#NULL!","#NULL!",69,0,48,2
"S145","s05-08",5,1,7,1,45,47,2,2,"#NULL!","#NULL!",6,7,6,7,1,"#NULL!","#NULL!",6,7,"#NULL!","#NULL!",-0.49,-0.78,"#NULL!",45,47,"#NULL!",0,"#NULL!",1
"S146","s05-05",5,1,7,1,56,57,1,1,10,11,"#NULL!","#NULL!",10,11,1,10,10,"#NULL!","#NULL!",0.55,0.25,"#NULL!","#NULL!",56,"#NULL!","#NULL!",57,0,43,1
"S147","s05-13",5,2,7,1,66,64,-2,2,"#NULL!","#NULL!",13,13,13,13,0,"#NULL!","#NULL!",13,13,"#NULL!","#NULL!",1.61,0.85,"#NULL!",66,64,"#NULL!",0,62,0
"S148","s05-09",5,1,8,1,50,66,16,1,8,13,"#NULL!","#NULL!",8,13,5,8,13,"#NULL!","#NULL!",-0.01,1,"#NULL!","#NULL!",50,"#NULL!","#NULL!",66,0,"#NULL!",5
"S149","s05-14",5,1,7,1,60,70,10,2,"#NULL!","#NULL!",12,16,12,16,4,"#NULL!","#NULL!",11,15,"#NULL!","#NULL!",1.01,1.39,"#NULL!",60,70,"#NULL!",0,62,4
"S150","s05-16",5,2,7,1,53,72,19,1,9,16,"#NULL!","#NULL!",9,16,7,9,15,"#NULL!","#NULL!",0.27,1.49,"#NULL!","#NULL!",53,"#NULL!","#NULL!",72,0,62,7
"S151","s05-12",5,1,2,1,57,70,13,2,"#NULL!","#NULL!",10,15,10,15,5,"#NULL!","#NULL!",10,15,"#NULL!","#NULL!",0.71,1.39,"#NULL!",57,70,"#NULL!",0,"#NULL!",5
"S152","s05-04",5,1,3,1,73,60,-13,1,17,11,"#NULL!","#NULL!",17,11,-6,16,11,"#NULL!","#NULL!",2.25,0.5,"#NULL!","#NULL!",73,"#NULL!","#NULL!",60,0,52,-6
"S153","s05-17",5,2,7,1,48,70,22,2,"#NULL!","#NULL!",7,16,7,16,9,"#NULL!","#NULL!",7,15,"#NULL!","#NULL!",-0.19,1.39,"#NULL!",48,70,"#NULL!",0,62,9
"S154","s05-01",5,2,7,1,56,72,16,1,10,15,"#NULL!","#NULL!",10,15,5,10,15,"#NULL!","#NULL!",0.55,1.49,"#NULL!","#NULL!",56,"#NULL!","#NULL!",72,0,"#NULL!",5
"S155","s05-15",5,2,6,1,45,58,13,2,"#NULL!","#NULL!",6,12,6,12,6,"#NULL!","#NULL!",6,11,"#NULL!","#NULL!",-0.49,0.31,"#NULL!",45,58,"#NULL!",0,59,6
"S156","s05-02",5,2,7,1,67,72,5,1,14,16,"#NULL!","#NULL!",14,16,2,14,15,"#NULL!","#NULL!",1.68,1.49,"#NULL!","#NULL!",67,"#NULL!","#NULL!",72,0,62,2
"S157","s06-07",6,1,8,2,47,54,7,1,7,11,"#NULL!","#NULL!",7,11,4,7,9,"#NULL!","#NULL!",-0.29,0,"#NULL!","#NULL!",47,"#NULL!","#NULL!",54,0,62,4
"S158","s06-13",6,1,8,2,57,67,10,2,"#NULL!","#NULL!",11,14,11,14,3,"#NULL!","#NULL!",10,14,"#NULL!","#NULL!",0.71,1.12,"#NULL!",57,67,"#NULL!",0,62,3
"S159","s06-02",6,1,7,2,47,48,1,1,7,9,"#NULL!","#NULL!",7,9,2,7,7,"#NULL!","#NULL!",-0.29,-0.49,"#NULL!","#NULL!",47,"#NULL!","#NULL!",48,0,"#NULL!",2
"S160","s06-01",6,2,7,2,45,53,8,2,"#NULL!","#NULL!",7,10,7,10,3,"#NULL!","#NULL!",6,9,"#NULL!","#NULL!",-0.49,-0.23,"#NULL!",45,53,"#NULL!",0,62,3
"S161","s06-11",6,1,7,2,44,42,-2,1,6,5,"#NULL!","#NULL!",6,5,-1,6,5,"#NULL!","#NULL!",-0.58,-0.99,"#NULL!","#NULL!",44,"#NULL!","#NULL!",42,0,62,-1
"S162","s06-15",6,1,3,2,48,58,10,2,"#NULL!","#NULL!",8,11,8,11,3,"#NULL!","#NULL!",7,11,"#NULL!","#NULL!",-0.19,0.31,"#NULL!",48,58,"#NULL!",0,"#NULL!",3
"S163","s06-08",6,2,7,2,44,66,22,1,8,13,"#NULL!","#NULL!",8,13,5,6,13,"#NULL!","#NULL!",-0.58,1,"#NULL!","#NULL!",44,"#NULL!","#NULL!",66,0,62,5
