"SubjID","Sess","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again"
"S293","s13-18",13,2,6,3,41,39,-2,1,6,4,"#NULL!","#NULL!",6,4,-2,5,4,"#NULL!","#NULL!",-0.86,-1.24,"#NULL!","#NULL!",41,"#NULL!","#NULL!",39,0,"#NULL!",-2
"S294","s13-13",13,2,6,3,57,50,-7,2,"#NULL!","#NULL!",10,9,10,9,-1,"#NULL!","#NULL!",10,8,"#NULL!","#NULL!",0.71,-0.5,"#NULL!",57,50,"#NULL!",0,62,-1
"S295","s13-14",13,2,6,3,41,51,10,1,6,8,"#NULL!","#NULL!",6,8,2,5,8,"#NULL!","#NULL!",-0.86,-0.25,"#NULL!","#NULL!",41,"#NULL!","#NULL!",51,0,62,2
"S296","s13-08",13,2,3,3,48,39,-9,2,"#NULL!","#NULL!",7,4,7,4,-3,"#NULL!","#NULL!",7,4,"#NULL!","#NULL!",-0.19,-1.59,"#NULL!",48,39,"#NULL!",0,"#NULL!",-3
"S297","s13-07",13,1,3,3,44,51,7,1,6,8,"#NULL!","#NULL!",6,8,2,6,8,"#NULL!","#NULL!",-0.58,-0.25,"#NULL!","#NULL!",44,"#NULL!","#NULL!",51,0,62,2
"S298","s13-01",13,1,3,3,48,50,2,2,"#NULL!","#NULL!",7,9,7,9,2,"#NULL!","#NULL!",7,8,"#NULL!","#NULL!",-0.19,-0.5,"#NULL!",48,50,"#NULL!",0,40,2
"S299","s13-03",13,2,3,3,47,33,-14,1,8,2,"#NULL!","#NULL!",8,2,-6,7,2,"#NULL!","#NULL!",-0.29,-1.74,"#NULL!","#NULL!",47,"#NULL!","#NULL!",33,0,"#NULL!",-6
"S300","s13-17",13,1,3,3,54,41,-13,2,"#NULL!","#NULL!",9,5,9,5,-4,"#NULL!","#NULL!",9,5,"#NULL!","#NULL!",0.41,-1.32,"#NULL!",54,41,"#NULL!",0,62,-4
"S301","s13-11",13,2,3,3,53,48,-5,1,9,7,"#NULL!","#NULL!",9,7,-2,9,7,"#NULL!","#NULL!",0.27,-0.49,"#NULL!","#NULL!",53,"#NULL!","#NULL!",48,0,61,-2
"S302","s13-04",13,1,5,3,45,50,5,2,"#NULL!","#NULL!",7,8,7,8,1,"#NULL!","#NULL!",6,8,"#NULL!","#NULL!",-0.49,-0.5,"#NULL!",45,50,"#NULL!",0,"#NULL!",1
"S303","s13-15",13,1,3,3,44,57,13,1,6,12,"#NULL!","#NULL!",6,12,6,6,10,"#NULL!","#NULL!",-0.58,0.25,"#NULL!","#NULL!",44,"#NULL!","#NULL!",57,0,45,6
"S304","s13-10",13,2,3,3,39,58,19,2,"#NULL!","#NULL!",4,11,4,11,7,"#NULL!","#NULL!",4,11,"#NULL!","#NULL!",-1.09,0.31,"#NULL!",39,58,"#NULL!",0,30,7
"S305","s13-12",13,1,6,3,53,60,7,1,10,11,"#NULL!","#NULL!",10,11,1,9,11,"#NULL!","#NULL!",0.27,0.5,"#NULL!","#NULL!",53,"#NULL!","#NULL!",60,0,"#NULL!",1
"S306","s13-16",13,2,8,3,54,53,-1,2,"#NULL!","#NULL!",9,10,9,10,1,"#NULL!","#NULL!",9,9,"#NULL!","#NULL!",0.41,-0.23,"#NULL!",54,53,"#NULL!",0,44,1
"S307","s13-05",13,1,3,5,44,57,13,1,6,12,"#NULL!","#NULL!",6,12,6,6,10,"#NULL!","#NULL!",-0.58,0.25,"#NULL!","#NULL!",44,"#NULL!","#NULL!",57,0,61,6
"S308","s13-02",13,2,6,5,42,36,-6,2,"#NULL!","#NULL!",6,5,6,5,-1,"#NULL!","#NULL!",5,3,"#NULL!","#NULL!",-0.79,-1.86,"#NULL!",42,36,"#NULL!",0,"#NULL!",-1
"S315","s14-06",14,1,7,5,53,36,-17,1,10,4,"#NULL!","#NULL!",10,4,-6,9,3,"#NULL!","#NULL!",0.27,-1.49,"#NULL!","#NULL!",53,"#NULL!","#NULL!",36,0,62,-6
"S316","s14-01",14,1,1,3,45,61,16,2,"#NULL!","#NULL!",6,12,6,12,6,"#NULL!","#NULL!",6,12,"#NULL!","#NULL!",-0.49,0.58,"#NULL!",45,61,"#NULL!",0,20,6
"S317","s14-03",14,1,7,3,47,60,13,1,7,11,"#NULL!","#NULL!",7,11,4,7,11,"#NULL!","#NULL!",-0.29,0.5,"#NULL!","#NULL!",47,"#NULL!","#NULL!",60,0,"#NULL!",4
"S318","s14-04",14,1,7,3,45,53,8,2,"#NULL!","#NULL!",7,9,7,9,2,"#NULL!","#NULL!",6,9,"#NULL!","#NULL!",-0.49,-0.23,"#NULL!",45,53,"#NULL!",0,62,2
"S319","s14-02",14,2,7,3,44,45,1,1,6,7,"#NULL!","#NULL!",6,7,1,6,6,"#NULL!","#NULL!",-0.58,-0.74,"#NULL!","#NULL!",44,"#NULL!","#NULL!",45,0,62,1
"S320","s14-05",14,1,2,3,51,56,5,2,"#NULL!","#NULL!",8,10,8,10,2,"#NULL!","#NULL!",8,10,"#NULL!","#NULL!",0.11,0.04,"#NULL!",51,56,"#NULL!",0,"#NULL!",2
"S323","s15-06",15,2,7,2,53,69,16,1,9,15,"#NULL!","#NULL!",9,15,6,9,14,"#NULL!","#NULL!",0.27,1.25,"#NULL!","#NULL!",53,"#NULL!","#NULL!",69,0,62,6
"S324","s15-02",15,2,8,2,48,50,2,2,"#NULL!","#NULL!",7,8,7,8,1,"#NULL!","#NULL!",7,8,"#NULL!","#NULL!",-0.19,-0.5,"#NULL!",48,50,"#NULL!",0,62,1
"S325","s15-03",15,2,7,2,56,72,16,1,11,15,"#NULL!","#NULL!",11,15,4,10,15,"#NULL!","#NULL!",0.55,1.49,"#NULL!","#NULL!",56,"#NULL!","#NULL!",72,0,"#NULL!",4
"S326","s15-12",15,2,6,2,57,67,10,2,"#NULL!","#NULL!",11,14,11,14,3,"#NULL!","#NULL!",10,14,"#NULL!","#NULL!",0.71,1.12,"#NULL!",57,67,"#NULL!",0,24,3
"S327","s15-05",15,1,6,2,36,48,12,1,4,7,"#NULL!","#NULL!",4,7,3,3,7,"#NULL!","#NULL!",-1.42,-0.49,"#NULL!","#NULL!",36,"#NULL!","#NULL!",48,0,56,3
"S328","s15-04",15,1,3,2,60,50,-10,2,"#NULL!","#NULL!",11,9,11,9,-2,"#NULL!","#NULL!",11,8,"#NULL!","#NULL!",1.01,-0.5,"#NULL!",60,50,"#NULL!",0,"#NULL!",-2
"S329","s15-11",15,2,7,2,47,33,-14,1,7,2,"#NULL!","#NULL!",7,2,-5,7,2,"#NULL!","#NULL!",-0.29,-1.74,"#NULL!","#NULL!",47,"#NULL!","#NULL!",33,0,62,-5
"S330","s15-16",15,2,6,2,54,61,7,2,"#NULL!","#NULL!",10,12,10,12,2,"#NULL!","#NULL!",9,12,"#NULL!","#NULL!",0.41,0.58,"#NULL!",54,61,"#NULL!",0,62,2
"S331","s15-10",15,2,6,2,53,42,-11,1,9,6,"#NULL!","#NULL!",9,6,-3,9,5,"#NULL!","#NULL!",0.27,-0.99,"#NULL!","#NULL!",53,"#NULL!","#NULL!",42,0,"#NULL!",-3
"S332","s15-09",15,1,7,2,54,67,13,2,"#NULL!","#NULL!",10,15,10,15,5,"#NULL!","#NULL!",9,14,"#NULL!","#NULL!",0.41,1.12,"#NULL!",54,67,"#NULL!",0,62,5
"S333","s15-08",15,1,7,2,67,75,8,1,14,17,"#NULL!","#NULL!",14,17,3,14,16,"#NULL!","#NULL!",1.68,1.74,"#NULL!","#NULL!",67,"#NULL!","#NULL!",75,0,59,3
"S334","s15-01",15,1,7,2,45,64,19,2,"#NULL!","#NULL!",7,13,7,13,6,"#NULL!","#NULL!",6,13,"#NULL!","#NULL!",-0.49,0.85,"#NULL!",45,64,"#NULL!",0,"#NULL!",6
"S335","s15-14",15,2,2,2,61,66,5,1,12,13,"#NULL!","#NULL!",12,13,1,12,13,"#NULL!","#NULL!",1.12,1,"#NULL!","#NULL!",61,"#NULL!","#NULL!",66,0,62,1
"S336","s15-07",15,2,2,5,39,47,8,2,"#NULL!","#NULL!",5,7,5,7,2,"#NULL!","#NULL!",4,7,"#NULL!","#NULL!",-1.09,-0.78,"#NULL!",39,47,"#NULL!",0,62,2
"S337","s15-15",15,2,6,5,44,51,7,1,6,8,"#NULL!","#NULL!",6,8,2,6,8,"#NULL!","#NULL!",-0.58,-0.25,"#NULL!","#NULL!",44,"#NULL!","#NULL!",51,0,"#NULL!",2
"S338","s15-13",15,1,6,2,51,58,7,2,"#NULL!","#NULL!",8,11,8,11,3,"#NULL!","#NULL!",8,11,"#NULL!","#NULL!",0.11,0.31,"#NULL!",51,58,"#NULL!",0,58,3
"S069","#NULL!",1,2,7,2,50,63,13,1,8,12,"#NULL!","#NULL!",8,12,4,8,12,"#NULL!","#NULL!",-0.01,0.75,"#NULL!","#NULL!",50,"#NULL!","#NULL!",63,0,"#NULL!",4
"S070","#NULL!",1,1,2,2,42,56,14,2,"#NULL!","#NULL!",5,11,5,11,6,"#NULL!","#NULL!",5,10,"#NULL!","#NULL!",-0.79,0.04,"#NULL!",42,56,"#NULL!",0,"#NULL!",6
"S071","#NULL!",1,1,7,2,64,60,-4,1,14,13,"#NULL!","#NULL!",14,13,-1,13,11,"#NULL!","#NULL!",1.4,0.5,"#NULL!","#NULL!",64,"#NULL!","#NULL!",60,0,"#NULL!",-1
"S072","#NULL!",1,1,7,2,51,61,10,2,"#NULL!","#NULL!",9,12,9,12,3,"#NULL!","#NULL!",8,12,"#NULL!","#NULL!",0.11,0.58,"#NULL!",51,61,"#NULL!",0,"#NULL!",3
"S073","#NULL!",1,2,3,2,42,56,14,2,"#NULL!","#NULL!",5,10,5,10,5,"#NULL!","#NULL!",5,10,"#NULL!","#NULL!",-0.79,0.04,"#NULL!",42,56,"#NULL!",0,"#NULL!",5
"S092","#NULL!",2,1,6,2,51,61,10,2,"#NULL!","#NULL!",8,12,8,12,4,"#NULL!","#NULL!",8,12,"#NULL!","#NULL!",0.11,0.58,"#NULL!",51,61,"#NULL!",0,"#NULL!",4
"S093","#NULL!",2,2,7,2,53,48,-5,1,9,8,"#NULL!","#NULL!",9,8,-1,9,7,"#NULL!","#NULL!",0.27,-0.49,"#NULL!","#NULL!",53,"#NULL!","#NULL!",48,0,"#NULL!",-1
"S094","#NULL!",2,2,7,2,50,51,1,1,9,8,"#NULL!","#NULL!",9,8,-1,8,8,"#NULL!","#NULL!",-0.01,-0.25,"#NULL!","#NULL!",50,"#NULL!","#NULL!",51,0,"#NULL!",-1
"S095","#NULL!",2,2,8,2,47,60,13,1,7,11,"#NULL!","#NULL!",7,11,4,7,11,"#NULL!","#NULL!",-0.29,0.5,"#NULL!","#NULL!",47,"#NULL!","#NULL!",60,0,"#NULL!",4
"S096","#NULL!",2,2,7,2,67,72,5,1,14,15,"#NULL!","#NULL!",14,15,1,14,15,"#NULL!","#NULL!",1.68,1.49,"#NULL!","#NULL!",67,"#NULL!","#NULL!",72,0,"#NULL!",1
"S115","#NULL!",3,1,8,2,69,58,-11,2,"#NULL!","#NULL!",14,11,14,11,-3,"#NULL!","#NULL!",14,11,"#NULL!","#NULL!",1.91,0.31,"#NULL!",69,58,"#NULL!",0,"#NULL!",-3
"S116","#NULL!",3,2,5,2,54,56,2,2,"#NULL!","#NULL!",9,11,9,11,2,"#NULL!","#NULL!",9,10,"#NULL!","#NULL!",0.41,0.04,"#NULL!",54,56,"#NULL!",0,"#NULL!",2
"S117","#NULL!",3,2,6,2,45,56,11,2,"#NULL!","#NULL!",6,11,6,11,5,"#NULL!","#NULL!",6,10,"#NULL!","#NULL!",-0.49,0.04,"#NULL!",45,56,"#NULL!",0,"#NULL!",5
"S118","#NULL!",3,2,6,2,50,51,1,1,9,9,"#NULL!","#NULL!",9,9,0,8,8,"#NULL!","#NULL!",-0.01,-0.25,"#NULL!","#NULL!",50,"#NULL!","#NULL!",51,0,"#NULL!",0
"S137","#NULL!",4,2,7,1,67,78,11,1,14,18,"#NULL!","#NULL!",14,18,4,14,17,"#NULL!","#NULL!",1.68,1.99,"#NULL!","#NULL!",67,"#NULL!","#NULL!",78,0,"#NULL!",4
"S138","#NULL!",4,2,8,1,51,53,2,2,"#NULL!","#NULL!",8,9,8,9,1,"#NULL!","#NULL!",8,9,"#NULL!","#NULL!",0.11,-0.23,"#NULL!",51,53,"#NULL!",0,"#NULL!",1
"S139","#NULL!",4,2,8,1,61,72,11,1,13,15,"#NULL!","#NULL!",13,15,2,12,15,"#NULL!","#NULL!",1.12,1.49,"#NULL!","#NULL!",61,"#NULL!","#NULL!",72,0,"#NULL!",2
"S172","#NULL!",6,2,2,2,64,42,-22,1,13,5,"#NULL!","#NULL!",13,5,-8,13,5,"#NULL!","#NULL!",1.4,-0.99,"#NULL!","#NULL!",64,"#NULL!","#NULL!",42,1,"#NULL!",-8
"S173","#NULL!",6,1,6,2,42,41,-1,2,"#NULL!","#NULL!",5,6,5,6,1,"#NULL!","#NULL!",5,5,"#NULL!","#NULL!",-0.79,-1.32,"#NULL!",42,41,"#NULL!",0,"#NULL!",1
"S174","#NULL!",6,2,7,2,50,51,1,1,8,9,"#NULL!","#NULL!",8,9,1,8,8,"#NULL!","#NULL!",-0.01,-0.25,"#NULL!","#NULL!",50,"#NULL!","#NULL!",51,0,"#NULL!",1
"S175","#NULL!",6,2,7,2,50,48,-2,1,9,8,"#NULL!","#NULL!",9,8,-1,8,7,"#NULL!","#NULL!",-0.01,-0.49,"#NULL!","#NULL!",50,"#NULL!","#NULL!",48,0,"#NULL!",-1
"S176","#NULL!",6,2,7,2,54,41,-13,2,"#NULL!","#NULL!",9,6,9,6,-3,"#NULL!","#NULL!",9,5,"#NULL!","#NULL!",0.41,-1.32,"#NULL!",54,41,"#NULL!",0,"#NULL!",-3
"S190","#NULL!",7,2,3,4,44,45,1,2,6,6,"#NULL!","#NULL!",6,6,0,6,6,"#NULL!","#NULL!",-0.58,-0.74,"#NULL!","#NULL!",44,"#NULL!","#NULL!",45,0,"#NULL!",0
"S191","#NULL!",7,2,3,4,54,44,-10,1,"#NULL!","#NULL!",9,6,9,6,-3,"#NULL!","#NULL!",9,6,"#NULL!","#NULL!",0.41,-1.05,"#NULL!",54,44,"#NULL!",0,"#NULL!",-3
"S192","#NULL!",7,2,7,4,44,36,-8,2,6,3,"#NULL!","#NULL!",6,3,-3,6,3,"#NULL!","#NULL!",-0.58,-1.49,"#NULL!","#NULL!",44,"#NULL!","#NULL!",36,0,"#NULL!",-3
"S193","#NULL!",7,2,3,4,54,61,7,1,"#NULL!","#NULL!",10,13,10,13,3,"#NULL!","#NULL!",9,12,"#NULL!","#NULL!",0.41,0.58,"#NULL!",54,61,"#NULL!",0,"#NULL!",3
"S205","#NULL!",8,1,7,4,56,45,-11,1,10,6,"#NULL!","#NULL!",10,6,-4,10,6,"#NULL!","#NULL!",0.55,-0.74,"#NULL!","#NULL!",56,"#NULL!","#NULL!",45,0,"#NULL!",-4
"S206","#NULL!",8,1,3,4,51,53,2,2,"#NULL!","#NULL!",9,9,9,9,0,"#NULL!","#NULL!",8,9,"#NULL!","#NULL!",0.11,-0.23,"#NULL!",51,53,"#NULL!",0,"#NULL!",0
"S207","#NULL!",8,1,3,4,61,45,-16,1,12,6,"#NULL!","#NULL!",12,6,-6,12,6,"#NULL!","#NULL!",1.12,-0.74,"#NULL!","#NULL!",61,"#NULL!","#NULL!",45,0,"#NULL!",-6
"S224","#NULL!",9,2,8,2,47,54,7,1,7,9,"#NULL!","#NULL!",7,9,2,7,9,"#NULL!","#NULL!",-0.29,0,"#NULL!","#NULL!",47,"#NULL!","#NULL!",54,0,"#NULL!",2
"S225","#NULL!",9,2,6,2,36,56,20,2,"#NULL!","#NULL!",3,10,3,10,7,"#NULL!","#NULL!",3,10,"#NULL!","#NULL!",-1.39,0.04,"#NULL!",36,56,"#NULL!",0,"#NULL!",7
"S226","#NULL!",9,2,7,2,64,66,2,1,13,13,"#NULL!","#NULL!",13,13,0,13,13,"#NULL!","#NULL!",1.4,1,"#NULL!","#NULL!",64,"#NULL!","#NULL!",66,0,"#NULL!",0
"S227","#NULL!",9,1,5,2,42,53,11,2,"#NULL!","#NULL!",6,10,6,10,4,"#NULL!","#NULL!",5,9,"#NULL!","#NULL!",-0.79,-0.23,"#NULL!",42,53,"#NULL!",0,"#NULL!",4
"S244","#NULL!",10,1,7,2,70,57,-13,1,15,11,"#NULL!","#NULL!",15,11,-4,15,10,"#NULL!","#NULL!",1.97,0.25,"#NULL!","#NULL!",70,"#NULL!","#NULL!",57,0,"#NULL!",-4
"S245","#NULL!",10,1,8,2,72,78,6,2,"#NULL!","#NULL!",15,18,15,18,3,"#NULL!","#NULL!",15,18,"#NULL!","#NULL!",2.21,2.2,"#NULL!",72,78,"#NULL!",0,"#NULL!",3
"S246","#NULL!",10,1,7,2,41,45,4,1,5,7,"#NULL!","#NULL!",5,7,2,5,6,"#NULL!","#NULL!",-0.86,-0.74,"#NULL!","#NULL!",41,"#NULL!","#NULL!",45,0,"#NULL!",2
"S247","#NULL!",10,2,3,2,45,41,-4,2,"#NULL!","#NULL!",6,5,6,5,-1,"#NULL!","#NULL!",6,5,"#NULL!","#NULL!",-0.49,-1.32,"#NULL!",45,41,"#NULL!",0,"#NULL!",-1
"S248","#NULL!",10,1,6,2,47,48,1,1,7,7,"#NULL!","#NULL!",7,7,0,7,7,"#NULL!","#NULL!",-0.29,-0.49,"#NULL!","#NULL!",47,"#NULL!","#NULL!",48,0,"#NULL!",0
"S264","#NULL!",11,1,7,2,58,54,-4,1,11,9,"#NULL!","#NULL!",11,9,-2,11,9,"#NULL!","#NULL!",0.84,0,"#NULL!","#NULL!",58,"#NULL!","#NULL!",54,0,"#NULL!",-2
"S265","#NULL!",11,1,7,2,54,61,7,2,"#NULL!","#NULL!",9,12,9,12,3,"#NULL!","#NULL!",9,12,"#NULL!","#NULL!",0.41,0.58,"#NULL!",54,61,"#NULL!",0,"#NULL!",3
"S266","#NULL!",11,2,7,2,50,51,1,1,9,9,"#NULL!","#NULL!",9,9,0,8,8,"#NULL!","#NULL!",-0.01,-0.25,"#NULL!","#NULL!",50,"#NULL!","#NULL!",51,0,"#NULL!",0
"S267","#NULL!",11,2,7,2,63,76,13,2,"#NULL!","#NULL!",12,17,12,17,5,"#NULL!","#NULL!",12,17,"#NULL!","#NULL!",1.31,1.93,"#NULL!",63,76,"#NULL!",0,"#NULL!",5
"S268","#NULL!",11,2,7,2,58,72,14,1,11,15,"#NULL!","#NULL!",11,15,4,11,15,"#NULL!","#NULL!",0.84,1.49,"#NULL!","#NULL!",58,"#NULL!","#NULL!",72,0,"#NULL!",4
"S286","#NULL!",12,2,6,6,27,27,0,2,0,1,"#NULL!","#NULL!",0,1,1,0,0,"#NULL!","#NULL!",-2.27,-2.23,"#NULL!","#NULL!",27,"#NULL!","#NULL!",27,0,"#NULL!",1
"S287","#NULL!",12,1,6,6,30,36,6,1,"#NULL!","#NULL!",1,3,1,3,2,"#NULL!","#NULL!",1,3,"#NULL!","#NULL!",-1.99,-1.86,"#NULL!",30,36,"#NULL!",0,"#NULL!",2
"S288","#NULL!",12,2,"#NULL!",6,27,45,18,2,0,6,"#NULL!","#NULL!",0,6,6,0,6,"#NULL!","#NULL!",-2.27,-0.74,"#NULL!","#NULL!",27,"#NULL!","#NULL!",45,0,"#NULL!",6
"S289","#NULL!",12,2,6,6,33,50,17,1,"#NULL!","#NULL!",3,8,3,8,5,"#NULL!","#NULL!",2,8,"#NULL!","#NULL!",-1.69,-0.5,"#NULL!",33,50,"#NULL!",0,"#NULL!",5
"S290","#NULL!",12,2,8,6,33,39,6,2,2,6,"#NULL!","#NULL!",2,6,4,2,4,"#NULL!","#NULL!",-1.71,-1.24,"#NULL!","#NULL!",33,"#NULL!","#NULL!",39,0,"#NULL!",4
"S309","#NULL!",13,1,"#NULL!",3,41,36,-5,1,5,4,"#NULL!","#NULL!",5,4,-1,5,3,"#NULL!","#NULL!",-0.86,-1.49,"#NULL!","#NULL!",41,"#NULL!","#NULL!",36,0,"#NULL!",-1
"S310","#NULL!",13,2,7,3,45,36,-9,2,"#NULL!","#NULL!",7,3,7,3,-4,"#NULL!","#NULL!",6,3,"#NULL!","#NULL!",-0.49,-1.86,"#NULL!",45,36,"#NULL!",0,"#NULL!",-4
"S311","#NULL!",13,2,3,3,41,33,-8,1,6,2,"#NULL!","#NULL!",6,2,-4,5,2,"#NULL!","#NULL!",-0.86,-1.74,"#NULL!","#NULL!",41,"#NULL!","#NULL!",33,0,"#NULL!",-4
"S312","#NULL!",13,2,3,3,36,47,11,2,"#NULL!","#NULL!",4,7,4,7,3,"#NULL!","#NULL!",3,7,"#NULL!","#NULL!",-1.39,-0.78,"#NULL!",36,47,"#NULL!",0,"#NULL!",3
"S313","#NULL!",13,1,8,3,44,36,-8,1,6,3,"#NULL!","#NULL!",6,3,-3,6,3,"#NULL!","#NULL!",-0.58,-1.49,"#NULL!","#NULL!",44,"#NULL!","#NULL!",36,0,"#NULL!",-3
"S314","#NULL!",13,2,3,3,41,51,10,1,5,8,"#NULL!","#NULL!",5,8,3,5,8,"#NULL!","#NULL!",-0.86,-0.25,"#NULL!","#NULL!",41,"#NULL!","#NULL!",51,0,"#NULL!",3
"S321","#NULL!",14,1,4,3,33,33,0,1,2,2,"#NULL!","#NULL!",2,2,0,2,2,"#NULL!","#NULL!",-1.71,-1.74,"#NULL!","#NULL!",33,"#NULL!","#NULL!",33,0,"#NULL!",0
"S322","#NULL!",14,2,8,3,42,50,8,2,"#NULL!","#NULL!",5,8,5,8,3,"#NULL!","#NULL!",5,8,"#NULL!","#NULL!",-0.79,-0.5,"#NULL!",42,50,"#NULL!",0,"#NULL!",3
"S339","#NULL!",15,1,3,5,27,27,0,1,1,0,"#NULL!","#NULL!",1,0,-1,0,0,"#NULL!","#NULL!",-2.27,-2.23,"#NULL!","#NULL!",27,"#NULL!","#NULL!",27,0,"#NULL!",-1
"S340","#NULL!",15,2,7,2,48,58,10,2,"#NULL!","#NULL!",7,11,7,11,4,"#NULL!","#NULL!",7,11,"#NULL!","#NULL!",-0.19,0.31,"#NULL!",48,58,"#NULL!",0,"#NULL!",4
"S341","#NULL!",15,1,7,2,53,57,4,1,9,10,"#NULL!","#NULL!",9,10,1,9,10,"#NULL!","#NULL!",0.27,0.25,"#NULL!","#NULL!",53,"#NULL!","#NULL!",57,0,"#NULL!",1
"S342","#NULL!",15,2,6,2,48,44,-4,2,"#NULL!","#NULL!",8,6,8,6,-2,"#NULL!","#NULL!",7,6,"#NULL!","#NULL!",-0.19,-1.05,"#NULL!",48,44,"#NULL!",0,"#NULL!",-2
