"SubjID","AltID","Session","Cond_code","Sequencing","Feedback","All_Items","Correct","Incorrect","Reamaining","ElapsedTime","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S163","s06-08","c06","adaptive_acc","Adaptive","Accuracy",63,18,45,0,1089,0.002,0.176,0.822,0.18,"L",0.085,0.415,0.5,0.585,"L",0.119,0.242,0.639,0.48,"L",0,0.019,0.981,0.0189999999999999,"L",0,0.018,0.982,0.018,"L",0.093,0.729,0.178,0.915,"M",0,0.017,0.983,0.0169999999999999,"L",0.041,0.423,0.536,0.505,"L",0.022,0.233,0.745,0.277,"L",0.027,0.254,0.719,0.308,"L",0.001,0.054,0.945,0.0549999999999999,"L"
"S170","s06-09","c06","adaptive_full","Adaptive","Full",63,21,42,0,2017,0,0.061,0.939,0.0620000000000001,"L",0.108,0.582,0.31,0.798,"M",0.105,0.232,0.663,0.442,"L",0,0.013,0.987,0.0129999999999999,"L",0.005,0.104,0.891,0.115,"L",0.474,0.514,0.012,1.462,"M",0,0.025,0.975,0.026,"L",0.001,0.103,0.896,0.105,"L",0.199,0.473,0.328,0.871,"M",0.009,0.174,0.817,0.193,"L",0,0.024,0.976,0.0249999999999999,"L"
"S167","s06-10","c06","adaptive_full","Adaptive","Full",63,18,45,0,2012,0,0.047,0.953,0.0469999999999999,"L",0.237,0.632,0.13,1.107,"M",0.103,0.231,0.666,0.437,"L",0,0.012,0.988,0.012,"L",0,0.003,0.997,0.00299999999999989,"L",0.17,0.762,0.068,1.101,"M",0.002,0.061,0.937,0.0660000000000001,"L",0.038,0.422,0.539,0.499,"L",0.028,0.27,0.701,0.327,"L",0.003,0.104,0.893,0.11,"L",0.013,0.211,0.776,0.237,"L"
"S161","s06-11","c06","adaptive_full","Adaptive","Full",63,27,36,0,1301,0.001,0.292,0.707,0.295,"L",0.766,0.227,0.007,1.76,"H",0.133,0.251,0.616,0.518,"L",0.034,0.248,0.717,0.317,"L",0,0.019,0.981,0.0189999999999999,"L",0.372,0.595,0.033,1.34,"M",0.005,0.097,0.898,0.107,"L",0.14,0.579,0.281,0.859,"M",0.2,0.487,0.314,0.886,"M",0.001,0.054,0.944,0.0569999999999999,"L",0.001,0.045,0.954,0.046,"L"
"S168","s06-12","c06","linear_full","Linear","Full",63,10,53,0,1701,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.44,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.015,0.985,0.0149999999999999,"L",0.001,0.215,0.784,0.216,"L",0.002,0.053,0.945,0.056,"L",0.001,0.102,0.897,0.104,"L",0.001,0.071,0.927,0.0740000000000001,"L",0.006,0.152,0.843,0.163,"L",0.006,0.162,0.832,0.174,"L"
"S158","s06-13","c06","adaptive_full","Adaptive","Full",63,37,25,1,2480,0.605,0.393,0.002,1.604,"H",0.993,0.007,0,1.993,"H",0.273,0.325,0.402,0.871,"L",0.006,0.149,0.845,0.161,"L",0.23,0.45,0.32,0.909,"M",0.946,0.053,0.001,1.946,"H",0.132,0.457,0.411,0.721,"M",0.867,0.127,0.007,1.86,"H",0.818,0.173,0.009,1.808,"H",0.649,0.28,0.071,1.578,"H",0.086,0.422,0.491,0.595,"L"
"S171","s06-14","c06","linear_full","Linear","Full",63,20,43,0,1698,0.002,0.307,0.691,0.31,"L",0.59,0.381,0.029,1.561,"H",0.135,0.252,0.612,0.523,"L",0,0.025,0.974,0.026,"L",0,0.02,0.98,0.02,"L",0.122,0.717,0.16,0.962,"M",0.015,0.152,0.833,0.182,"L",0.04,0.423,0.537,0.504,"L",0.002,0.079,0.918,0.0840000000000001,"L",0.013,0.181,0.806,0.207,"L",0,0.033,0.967,0.034,"L"
"S162","s06-15","c06","linear_full","Linear","Full",63,8,55,0,1139,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.0169999999999999,"L",0,0.072,0.928,0.0720000000000001,"L",0,0.026,0.973,0.0269999999999999,"L",0.008,0.228,0.764,0.244,"L",0.001,0.048,0.952,0.0489999999999999,"L",0.007,0.164,0.829,0.177,"L",0.001,0.072,0.927,0.0740000000000001,"L"
"S179","s07-01","c07","linear_full","Linear","Full",63,23,39,1,NA,0.047,0.713,0.241,0.806,"M",0.698,0.264,0.037,1.661,"H",0.194,0.29,0.516,0.678,"L",0.024,0.254,0.722,0.302,"L",0,0.007,0.993,0.0069999999999999,"L",0.745,0.25,0.006,1.739,"H",0.016,0.192,0.792,0.223,"L",0.001,0.102,0.897,0.105,"L",0.195,0.499,0.306,0.889,"M",0.004,0.097,0.898,0.106,"L",0.003,0.105,0.891,0.112,"L"
"S182","s07-02","c07","linear_full","Linear","Full",63,29,34,0,1831,0.001,0.262,0.737,0.264,"L",0.567,0.403,0.031,1.536,"H",0.129,0.249,0.622,0.507,"L",0,0.023,0.977,0.0229999999999999,"L",0.015,0.127,0.859,0.156,"L",0.739,0.259,0.002,1.736,"H",0.004,0.082,0.914,0.0900000000000001,"L",0.395,0.513,0.092,1.302,"M",0.415,0.451,0.134,1.281,"M",0.08,0.318,0.603,0.477,"L",0.008,0.167,0.825,0.184,"L"
"S183","s07-03","c07","adaptive_acc","Adaptive","Accuracy",63,20,43,0,1289,0,0.003,0.997,0.00299999999999989,"L",0.02,0.402,0.578,0.442,"L",0.098,0.227,0.675,0.423,"L",0,0.01,0.99,0.01,"L",0.132,0.334,0.533,0.599,"L",0.013,0.546,0.44,0.573,"M",0.049,0.245,0.706,0.342,"L",0.223,0.535,0.242,0.982,"M",0.118,0.421,0.461,0.657,"L",0.074,0.315,0.611,0.463,"L",0.002,0.085,0.913,0.089,"L"
"S187","s07-04","c07","adaptive_full","Adaptive","Full",63,13,50,0,979,0,0.002,0.998,0.002,"L",0.019,0.402,0.579,0.44,"L",0.098,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.012,0.988,0.012,"L",0.017,0.642,0.341,0.676,"M",0.042,0.232,0.725,0.317,"L",0.009,0.231,0.76,0.25,"L",0.002,0.069,0.93,0.0720000000000001,"L",0.158,0.497,0.345,0.813,"M",0,0.041,0.958,0.042,"L"
"S184","s07-05","c07","adaptive_full","Adaptive","Full",63,10,53,0,1270,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.44,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.003,0.997,0.00299999999999989,"L",0.01,0.595,0.395,0.615,"M",0,0.014,0.986,0.014,"L",0.008,0.228,0.763,0.245,"L",0,0.017,0.982,0.018,"L",0.035,0.322,0.644,0.391,"L",0,0.024,0.976,0.024,"L"
"S178","s07-06","c07","adaptive_full","Adaptive","Full",63,21,42,0,2364,0.01,0.399,0.591,0.42,"L",0.316,0.477,0.207,1.109,"M",0.148,0.261,0.591,0.557,"L",0,0.032,0.968,0.032,"L",0,0.019,0.981,0.0189999999999999,"L",0.44,0.535,0.025,1.416,"M",0.014,0.162,0.824,0.19,"L",0.009,0.229,0.762,0.246,"L",0.028,0.27,0.702,0.326,"L",0.02,0.219,0.761,0.259,"L",0.023,0.26,0.716,0.307,"L"
"S186","s07-07","c07","adaptive_acc","Adaptive","Accuracy",63,18,45,0,1821,0,0.106,0.893,0.107,"L",0.275,0.602,0.123,1.152,"M",0.11,0.236,0.654,0.456,"L",0,0.015,0.985,0.0149999999999999,"L",0,0.003,0.997,0.00299999999999989,"L",0.036,0.62,0.343,0.693,"M",0,0.026,0.974,0.0269999999999999,"L",0.038,0.422,0.54,0.498,"L",0.462,0.425,0.113,1.349,"H",0,0.041,0.958,0.042,"L",0.002,0.074,0.924,0.077,"L"
"S181","s07-08","c07","adaptive_full","Adaptive","Full",63,8,55,0,1586,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.00800000000000001,"L",0,0.149,0.851,0.149,"L",0,0.016,0.984,0.016,"L",0.139,0.58,0.282,0.857,"M",0.004,0.116,0.88,0.124,"L",0.003,0.108,0.889,0.114,"L",0,0.035,0.965,0.0349999999999999,"L"
"S177","s07-09","c07","adaptive_acc","Adaptive","Accuracy",63,9,54,0,1913,0,0,1,0,"L",0.072,0.6,0.328,0.744,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.002,0.997,0.00299999999999989,"L",0.003,0.38,0.617,0.386,"L",0.001,0.046,0.952,0.0489999999999999,"L",0.008,0.227,0.765,0.243,"L",0.008,0.153,0.839,0.169,"L",0.005,0.144,0.851,0.154,"L",0.001,0.058,0.941,0.0600000000000001,"L"
"S188","s07-10","c07","linear_full","Linear","Full",63,11,52,0,2015,0,0.001,0.999,0.00099999999999989,"L",0.208,0.656,0.137,1.071,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.019,0.981,0.0189999999999999,"L",0.003,0.375,0.623,0.38,"L",0,0.01,0.99,0.01,"L",0.001,0.102,0.897,0.104,"L",0.001,0.059,0.94,0.0609999999999999,"L",0.01,0.195,0.794,0.216,"L",0,0.029,0.97,0.03,"L"
"S180","s07-11","c07","adaptive_acc","Adaptive","Accuracy",63,22,41,0,2206,0,0.023,0.977,0.0229999999999999,"L",0.085,0.593,0.322,0.764,"M",0.1,0.229,0.671,0.429,"L",0,0.011,0.989,0.0109999999999999,"L",0,0.01,0.99,0.0109999999999999,"L",0.495,0.495,0.009,1.486,"H",0,0.02,0.98,0.02,"L",0.35,0.549,0.101,1.249,"M",0.31,0.475,0.215,1.095,"M",0.011,0.181,0.808,0.203,"L",0,0.023,0.976,0.024,"L"
"S189","s07-12","c07","adaptive_acc","Adaptive","Accuracy",63,14,47,0,1210,0,0,1,0,"L",0.019,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.001,0.033,0.965,0.036,"L",0.027,0.696,0.277,0.749,"M",0.007,0.105,0.888,0.119,"L",0.163,0.568,0.269,0.895,"M",0.022,0.23,0.748,0.274,"L",0.192,0.495,0.312,0.88,"M",0,0.039,0.961,0.0389999999999999,"L"
"S201","s08-01","c08","adaptive_full","Adaptive","Full",63,18,45,0,1668,0,0.064,0.936,0.0640000000000001,"L",0.859,0.139,0.002,1.858,"H",0.105,0.232,0.662,0.443,"L",0,0.013,0.987,0.0129999999999999,"L",0,0.007,0.993,0.0069999999999999,"L",0.156,0.78,0.065,1.091,"M",0,0.016,0.984,0.016,"L",0.001,0.102,0.897,0.104,"L",0.005,0.124,0.871,0.134,"L",0.006,0.151,0.843,0.164,"L",0,0.018,0.981,0.0189999999999999,"L"
"S198","s08-02","c08","adaptive_full","Adaptive","Full",63,12,51,0,1841,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.0169999999999999,"L",0.019,0.659,0.322,0.697,"M",0.002,0.054,0.944,0.0580000000000001,"L",0.008,0.228,0.764,0.244,"L",0.026,0.248,0.726,0.299,"L",0.017,0.242,0.741,0.276,"L",0,0.045,0.955,0.046,"L"
"S197","s08-03","c08","adaptive_acc","Adaptive","Accuracy",63,11,52,0,2019,0,0,1,0,"L",0.018,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.003,0.997,0.00299999999999989,"L",0.225,0.744,0.031,1.194,"M",0,0.018,0.981,0.0189999999999999,"L",0.001,0.102,0.897,0.104,"L",0,0.041,0.959,0.042,"L",0.01,0.201,0.788,0.222,"L",0.001,0.078,0.92,0.081,"L"
"S194","s08-04","c08","adaptive_acc","Adaptive","Accuracy",63,4,59,0,2665,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.007,0.993,0.0069999999999999,"L",0,0.034,0.966,0.034,"L",0,0.016,0.984,0.0169999999999999,"L",0.001,0.101,0.897,0.104,"L",0.001,0.049,0.95,0.0509999999999999,"L",0.001,0.08,0.918,0.083,"L",0.001,0.074,0.925,0.0760000000000001,"L"
"S195","s08-05","c08","adaptive_full","Adaptive","Full",63,10,53,0,1539,0,0.001,0.999,0.00099999999999989,"L",0.073,0.599,0.328,0.745,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.0169999999999999,"L",0,0.127,0.872,0.128,"L",0,0.025,0.975,0.026,"L",0.001,0.102,0.897,0.104,"L",0.004,0.118,0.878,0.125,"L",0.006,0.16,0.833,0.173,"L",0.001,0.069,0.93,0.071,"L"
"S202","s08-06","c08","linear_full","Linear","Full",63,25,38,0,2112,0.001,0.311,0.689,0.312,"L",0.894,0.105,0.001,1.893,"H",0.135,0.253,0.612,0.523,"L",0,0.025,0.974,0.026,"L",0,0.004,0.996,0.004,"L",0.595,0.397,0.007,1.588,"H",0.04,0.24,0.72,0.32,"L",0.347,0.552,0.102,1.245,"M",0.04,0.311,0.649,0.391,"L",0,0.028,0.971,0.0289999999999999,"L",0,0.019,0.981,0.0189999999999999,"L"
"S199","s08-07","c08","linear_full","Linear","Full",63,17,46,0,2208,0,0.002,0.998,0.002,"L",0.073,0.599,0.328,0.745,"M",0.098,0.227,0.675,0.423,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.0169999999999999,"L",0.225,0.728,0.047,1.178,"M",0.004,0.088,0.907,0.097,"L",0.008,0.228,0.764,0.243,"L",0.179,0.476,0.345,0.833,"M",0.004,0.131,0.865,0.14,"L",0,0.014,0.986,0.0149999999999999,"L"
"S204","s08-08","c08","adaptive_full","Adaptive","Full",63,26,37,0,1902,0.001,0.196,0.803,0.198,"L",0.534,0.433,0.033,1.5,"H",0.121,0.243,0.635,0.486,"L",0.026,0.216,0.758,0.268,"L",0,0.023,0.976,0.024,"L",0.279,0.673,0.048,1.232,"M",0.006,0.1,0.895,0.111,"L",0.14,0.579,0.281,0.859,"M",0.063,0.365,0.571,0.492,"L",0.001,0.051,0.948,0.0529999999999999,"L",0.018,0.233,0.749,0.269,"L"
"S203","s08-09","c08","adaptive_acc","Adaptive","Accuracy",63,13,50,0,1910,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.44,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.02,0.191,0.79,0.23,"L",0.002,0.33,0.668,0.334,"L",0.001,0.034,0.966,0.0349999999999999,"L",0.002,0.104,0.895,0.107,"L",0,0.039,0.961,0.04,"L",0.013,0.211,0.777,0.236,"L",0.003,0.115,0.882,0.121,"L"
"S200","s08-10","c08","adaptive_acc","Adaptive","Accuracy",63,27,36,0,1753,0.007,0.447,0.546,0.46,"L",0.497,0.425,0.077,1.42,"H",0.153,0.264,0.582,0.571,"L",0,0.033,0.966,0.034,"L",0.004,0.065,0.932,0.0720000000000001,"L",0.565,0.423,0.013,1.552,"H",0.036,0.241,0.723,0.313,"L",0.374,0.53,0.096,1.277,"M",0.162,0.472,0.365,0.797,"M",0.041,0.247,0.712,0.329,"L",0,0.045,0.955,0.046,"L"
"S196","s08-11","c08","linear_full","Linear","Full",63,23,40,0,2596,0.008,0.414,0.578,0.43,"L",0.18,0.43,0.39,0.789,"M",0.149,0.262,0.589,0.561,"L",0,0.032,0.968,0.0329999999999999,"L",0,0.015,0.985,0.0149999999999999,"L",0.769,0.229,0.002,1.766,"H",0.23,0.395,0.376,0.854,"M",0.044,0.424,0.532,0.512,"L",0.042,0.315,0.643,0.399,"L",0.069,0.347,0.584,0.485,"L",0.001,0.063,0.936,0.0649999999999999,"L"
"S208","s09-01","c09","adaptive_acc","Adaptive","Accuracy",63,16,12,35,NA,0.536,0.459,0.006,1.53,"H",0.981,0.019,0.001,1.98,"H",0.266,0.323,0.411,0.855,"L",0.695,0.26,0.045,1.65,"H",0.007,0.056,0.937,0.0700000000000001,"L",0.971,0.029,0.001,1.97,"H",0.229,0.475,0.296,0.933,"M",0.27,0.403,0.328,0.942,"M",0.749,0.21,0.041,1.708,"H",0.2,0.4,0.401,0.799,"L",0.045,0.297,0.657,0.388,"L"
"S209","s09-02","c09","adaptive_full","Adaptive","Full",63,24,39,0,2672,0.012,0.321,0.667,0.345,"L",0.149,0.421,0.43,0.719,"L",0.139,0.255,0.606,0.533,"L",0.128,0.381,0.491,0.637,"L",0,0.003,0.997,0.00299999999999989,"L",0.399,0.569,0.032,1.368,"M",0.125,0.349,0.526,0.599,"L",0.05,0.427,0.522,0.528,"L",0.227,0.484,0.29,0.937,"M",0.266,0.479,0.255,1.011,"M",0.001,0.067,0.932,0.069,"L"
"S216","s09-03","c09","linear_full","Linear","Full",63,45,18,0,2050,0.968,0.032,0,1.968,"H",0.999,0.001,0,1.999,"H",0.305,0.335,0.359,0.946,"L",0.837,0.157,0.006,1.831,"H",0.007,0.113,0.88,0.127,"L",1,0,0,2,"H",0.61,0.348,0.042,1.567,"H",0.5,0.429,0.071,1.43,"H",0.503,0.413,0.084,1.419,"H",0.339,0.422,0.24,1.099,"M",0.574,0.374,0.052,1.522,"H"
"S214","s09-04","c09","adaptive_acc","Adaptive","Accuracy",63,20,43,0,2001,0,0.129,0.871,0.13,"L",0.29,0.591,0.12,1.17,"M",0.113,0.238,0.649,0.464,"L",0.001,0.04,0.959,0.042,"L",0,0.03,0.969,0.0309999999999999,"L",0.211,0.732,0.056,1.155,"M",0.105,0.329,0.566,0.54,"L",0.001,0.103,0.896,0.106,"L",0.003,0.102,0.894,0.109,"L",0.042,0.329,0.629,0.413,"L",0.004,0.123,0.873,0.131,"L"
"S218","s09-05","c09","adaptive_full","Adaptive","Full",63,33,30,0,1516,0.114,0.837,0.05,1.064,"M",0.963,0.036,0.001,1.963,"H",0.223,0.308,0.469,0.754,"L",0.776,0.209,0.015,1.761,"H",0,0.006,0.994,0.00600000000000001,"L",0.673,0.313,0.014,1.659,"H",0.016,0.213,0.771,0.245,"L",0.814,0.181,0.005,1.81,"H",0.27,0.502,0.228,1.042,"M",0.005,0.09,0.905,0.099,"L",0.059,0.389,0.551,0.508,"L"
"S217","s09-06","c09","adaptive_acc","Adaptive","Accuracy",63,22,41,0,2111,0.002,0.362,0.636,0.367,"L",0.618,0.356,0.027,1.591,"H",0.142,0.257,0.601,0.541,"L",0,0.028,0.971,0.0289999999999999,"L",0.001,0.047,0.952,0.0489999999999999,"L",0.385,0.588,0.026,1.359,"M",0.061,0.284,0.655,0.405,"L",0.009,0.23,0.761,0.248,"L",0.002,0.078,0.92,0.0820000000000001,"L",0.029,0.261,0.71,0.319,"L",0.001,0.061,0.938,0.0629999999999999,"L"
"S223","s09-07","c09","adaptive_acc","Adaptive","Accuracy",63,14,49,0,1552,0,0.01,0.99,0.01,"L",0.022,0.403,0.575,0.447,"L",0.098,0.228,0.674,0.425,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.0169999999999999,"L",0.04,0.758,0.203,0.837,"M",0,0.016,0.984,0.016,"L",0.001,0.102,0.897,0.104,"L",0.008,0.15,0.842,0.166,"L",0.007,0.161,0.832,0.175,"L",0.001,0.055,0.944,0.056,"L"
"S212","s09-08","c09","adaptive_full","Adaptive","Full",63,20,43,0,1454,0,0.009,0.991,0.0089999999999999,"L",0.077,0.597,0.326,0.751,"M",0.098,0.228,0.674,0.425,"L",0,0.01,0.99,0.01,"L",0,0.021,0.979,0.0209999999999999,"L",0.385,0.6,0.015,1.369,"M",0.001,0.034,0.965,0.036,"L",0.141,0.579,0.28,0.861,"M",0.006,0.141,0.852,0.154,"L",0.01,0.186,0.804,0.207,"L",0.007,0.168,0.825,0.182,"L"
"S210","s09-09","c09","linear_full","Linear","Full",63,23,40,0,1658,0,0.055,0.945,0.0549999999999999,"L",0.039,0.406,0.555,0.484,"L",0.104,0.232,0.664,0.44,"L",0,0.012,0.988,0.0129999999999999,"L",0,0.008,0.992,0.00800000000000001,"L",0.754,0.244,0.002,1.752,"H",0.007,0.107,0.886,0.121,"L",0.349,0.549,0.101,1.248,"M",0.082,0.389,0.529,0.552,"L",0.009,0.157,0.834,0.175,"L",0.001,0.053,0.946,0.0549999999999999,"L"
"S220","s09-10","c09","adaptive_acc","Adaptive","Accuracy",63,30,33,0,1927,0.58,0.416,0.005,1.575,"H",0.988,0.012,0,1.988,"H",0.27,0.324,0.405,0.865,"L",0.503,0.406,0.091,1.413,"H",0,0.01,0.99,0.01,"L",0.9,0.097,0.003,1.898,"H",0.003,0.113,0.883,0.12,"L",0.173,0.564,0.263,0.911,"M",0.059,0.374,0.567,0.493,"L",0.094,0.348,0.558,0.536,"L",0.317,0.488,0.195,1.122,"M"
"S222","s09-11","c09","linear_full","Linear","Full",63,14,47,0,1491,0,0,1,0,"L",0.207,0.656,0.137,1.071,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.003,0.997,0.00299999999999989,"L",0.173,0.778,0.049,1.125,"M",0,0.016,0.984,0.016,"L",0.138,0.58,0.282,0.856,"M",0.004,0.104,0.892,0.112,"L",0.001,0.049,0.951,0.05,"L",0,0.039,0.961,0.0389999999999999,"L"
"S211","s09-12","c09","adaptive_acc","Adaptive","Accuracy",63,17,46,0,1327,0,0.002,0.998,0.002,"L",0.073,0.599,0.328,0.745,"M",0.098,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.018,"L",0.33,0.645,0.025,1.305,"M",0,0.016,0.984,0.016,"L",0.008,0.227,0.765,0.243,"L",0.147,0.456,0.398,0.749,"M",0.002,0.094,0.904,0.0980000000000001,"L",0,0.027,0.973,0.0269999999999999,"L"
"S221","s09-13","c09","adaptive_full","Adaptive","Full",63,26,37,0,2201,0.026,0.605,0.369,0.657,"M",0.613,0.333,0.054,1.559,"H",0.176,0.279,0.544,0.632,"L",0.018,0.218,0.763,0.255,"L",0.001,0.039,0.96,0.04,"L",0.764,0.232,0.004,1.761,"H",0.036,0.257,0.707,0.329,"L",0.01,0.233,0.756,0.254,"L",0.13,0.459,0.41,0.72,"M",0.084,0.359,0.558,0.526,"L",0.007,0.158,0.835,0.172,"L"
"S215","s09-14","c09","adaptive_full","Adaptive","Full",63,38,25,0,2336,0.761,0.238,0.001,1.761,"H",0.998,0.002,0,1.998,"H",0.287,0.33,0.384,0.903,"L",0.775,0.209,0.016,1.759,"H",0,0.012,0.988,0.012,"L",0.998,0.002,0,1.998,"H",0.081,0.423,0.496,0.586,"L",0.172,0.565,0.263,0.908,"M",0.568,0.37,0.062,1.507,"H",0.074,0.318,0.608,0.466,"L",0.327,0.487,0.186,1.141,"M"
"S219","s09-15","c09","linear_full","Linear","Full",63,25,38,0,1370,0.049,0.773,0.179,0.87,"M",0.738,0.233,0.029,1.709,"H",0.202,0.296,0.503,0.699,"L",0.001,0.058,0.941,0.0600000000000001,"L",0,0.012,0.988,0.012,"L",0.861,0.138,0.001,1.86,"H",0.129,0.426,0.446,0.683,"L",0.386,0.521,0.094,1.292,"M",0.007,0.154,0.839,0.167,"L",0.106,0.345,0.549,0.558,"L",0.001,0.055,0.944,0.056,"L"
"S213","s09-16","c09","linear_full","Linear","Full",63,16,47,0,1875,0,0.013,0.987,0.0129999999999999,"L",0.215,0.65,0.135,1.081,"M",0.099,0.228,0.673,0.426,"L",0,0.01,0.99,0.01,"L",0,0.022,0.978,0.022,"L",0.087,0.819,0.094,0.993,"M",0,0.006,0.994,0.00600000000000001,"L",0.008,0.228,0.764,0.243,"L",0,0.031,0.969,0.0309999999999999,"L",0.003,0.113,0.884,0.119,"L",0,0.037,0.963,0.0369999999999999,"L"
