"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S052","s01-17","c01","Female","8","Academic",44,78,34,1,6,18,NA,NA,6,18,12,6,17,NA,NA,-0.58,1.99,NA,NA,44,NA,NA,78,FALSE,34,12,"adaptive_acc","Adaptive","Accuracy"
"S053","s01-03","c01","Female","2","Academic",45,39,-6,2,NA,NA,7,4,7,4,-3,NA,NA,6,4,NA,NA,-0.49,-1.59,NA,45,39,NA,FALSE,62,-3,"adaptive_full","Adaptive","Full"
"S054","s01-08","c01","Female","7","Academic",70,69,-1,1,16,16,NA,NA,16,16,0,15,14,NA,NA,1.97,1.25,NA,NA,70,NA,NA,69,FALSE,NA,0,"linear_full","Linear","Full"
"S055","s01-01","c01","Male","7","Academic",48,53,5,2,NA,NA,7,9,7,9,2,NA,NA,7,9,NA,NA,-0.19,-0.23,NA,48,53,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S056","s01-12","c01","Male","8","Academic",41,51,10,1,5,9,NA,NA,5,9,4,5,8,NA,NA,-0.86,-0.25,NA,NA,41,NA,NA,51,FALSE,62,4,"adaptive_full","Adaptive","Full"
"S057","s01-09","c01","Male","7","Academic",48,67,19,2,NA,NA,7,15,7,15,8,NA,NA,7,14,NA,NA,-0.19,1.12,NA,48,67,NA,FALSE,NA,8,"linear_full","Linear","Full"
"S058","s01-02","c01","Female","4","Academic",56,54,-2,1,10,9,NA,NA,10,9,-1,10,9,NA,NA,0.55,0,NA,NA,56,NA,NA,54,FALSE,62,-1,"adaptive_acc","Adaptive","Accuracy"
"S059","s01-13","c01","Female","6","Academic",45,53,8,2,NA,NA,7,10,7,10,3,NA,NA,6,9,NA,NA,-0.49,-0.23,NA,45,53,NA,FALSE,57,3,"adaptive_full","Adaptive","Full"
"S060","s01-10","c01","Female","7","Academic",50,51,1,1,8,8,NA,NA,8,8,0,8,8,NA,NA,-0.01,-0.25,NA,NA,50,NA,NA,51,FALSE,NA,0,"linear_full","Linear","Full"
"S061","s01-04","c01","Female","3","Academic",60,50,-10,2,NA,NA,11,8,11,8,-3,NA,NA,11,8,NA,NA,1.01,-0.5,NA,60,50,NA,FALSE,62,-3,"adaptive_acc","Adaptive","Accuracy"
"S062","s01-07","c01","Male","3","Academic",47,54,7,1,8,10,NA,NA,8,10,2,7,9,NA,NA,-0.29,0,NA,NA,47,NA,NA,54,FALSE,61,2,"adaptive_full","Adaptive","Full"
"S063","s01-05","c01","Male","7","Academic",50,54,4,1,8,10,NA,NA,8,10,2,8,9,NA,NA,-0.01,0,NA,NA,50,NA,NA,54,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S064","s01-14","c01","Female","3","Academic",69,73,4,2,NA,NA,14,16,14,16,2,NA,NA,14,16,NA,NA,1.91,1.66,NA,69,73,NA,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S065","s01-15","c01","Female","2","Academic",47,66,19,1,7,13,NA,NA,7,13,6,7,13,NA,NA,-0.29,1,NA,NA,47,NA,NA,66,FALSE,NA,6,"linear_full","Linear","Full"
"S066","s01-06","c01","Male","6","Academic",39,53,14,2,NA,NA,4,9,4,9,5,NA,NA,4,9,NA,NA,-1.09,-0.23,NA,39,53,NA,FALSE,62,5,"adaptive_acc","Adaptive","Accuracy"
"S067","s01-11","c01","Male","3","Academic",50,48,-2,1,9,7,NA,NA,9,7,-2,8,7,NA,NA,-0.01,-0.49,NA,NA,50,NA,NA,48,FALSE,60,-2,"adaptive_full","Adaptive","Full"
"S068","s01-16","c01","Female","6","Academic",54,50,-4,2,NA,NA,9,8,9,8,-1,NA,NA,9,8,NA,NA,0.41,-0.5,NA,54,50,NA,FALSE,NA,-1,"linear_full","Linear","Full"
"S074","s02-03","c02","Male","6","Academic",61,60,-1,1,12,12,NA,NA,12,12,0,12,11,NA,NA,1.12,0.5,NA,NA,61,NA,NA,60,FALSE,62,0,"adaptive_acc","Adaptive","Accuracy"
"S075","s02-02","c02","Female","2","Academic",45,61,16,2,NA,NA,7,13,7,13,6,NA,NA,6,12,NA,NA,-0.49,0.58,NA,45,61,NA,FALSE,62,6,"adaptive_full","Adaptive","Full"
"S076","s02-14","c02","Female","7","Academic",53,51,-2,1,9,8,NA,NA,9,8,-1,9,8,NA,NA,0.27,-0.25,NA,NA,53,NA,NA,51,FALSE,NA,-1,"linear_full","Linear","Full"
"S077","s02-16","c02","Male","2","Academic",70,75,5,1,16,17,NA,NA,16,17,1,15,16,NA,NA,1.97,1.74,NA,NA,70,NA,NA,75,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
"S078","s02-10","c02","Male","6","Academic",53,54,1,1,10,9,NA,NA,10,9,-1,9,9,NA,NA,0.27,0,NA,NA,53,NA,NA,54,FALSE,62,-1,"adaptive_full","Adaptive","Full"
"S079","s02-19","c02","Male","7","Academic",72,56,-16,2,NA,NA,15,11,15,11,-4,NA,NA,15,10,NA,NA,2.21,0.04,NA,72,56,NA,FALSE,NA,-4,"linear_full","Linear","Full"
"S080","s02-09","c02","Male","7","Academic",45,47,2,2,NA,NA,6,7,6,7,1,NA,NA,6,7,NA,NA,-0.49,-0.78,NA,45,47,NA,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
"S081","s02-15","c02","Female","7","Academic",61,54,-7,1,12,10,NA,NA,12,10,-2,12,9,NA,NA,1.12,0,NA,NA,61,NA,NA,54,FALSE,62,-2,"adaptive_full","Adaptive","Full"
"S082","s02-05","c02","Male","7","Academic",57,39,-18,2,NA,NA,10,4,10,4,-6,NA,NA,10,4,NA,NA,0.71,-1.59,NA,57,39,NA,TRUE,NA,-6,"linear_full","Linear","Full"
"S083","s02-06","c02","Male","7","Academic",63,41,-22,2,NA,NA,12,6,12,6,-6,NA,NA,12,5,NA,NA,1.31,-1.32,NA,63,41,NA,TRUE,62,-6,"adaptive_acc","Adaptive","Accuracy"
"S084","s02-13","c02","Male","7","Academic",56,48,-8,1,11,7,NA,NA,11,7,-4,10,7,NA,NA,0.55,-0.49,NA,NA,56,NA,NA,48,FALSE,62,-4,"adaptive_full","Adaptive","Full"
"S085","s02-12","c02","Male","6","Academic",51,56,5,2,NA,NA,8,10,8,10,2,NA,NA,8,10,NA,NA,0.11,0.04,NA,51,56,NA,FALSE,NA,2,"linear_full","Linear","Full"
"S086","s02-07","c02","Male","7","Academic",63,67,4,2,NA,NA,12,14,12,14,2,NA,NA,12,14,NA,NA,1.31,1.12,NA,63,67,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S087","s02-08","c02","Male","7","Academic",53,51,-2,1,10,8,NA,NA,10,8,-2,9,8,NA,NA,0.27,-0.25,NA,NA,53,NA,NA,51,FALSE,62,-2,"adaptive_full","Adaptive","Full"
"S088","s02-04","c02","Male","7","Academic",48,58,10,2,NA,NA,8,11,8,11,3,NA,NA,7,11,NA,NA,-0.19,0.31,NA,48,58,NA,FALSE,NA,3,"linear_full","Linear","Full"
"S089","s02-17","c02","Male","7","Academic",42,61,19,2,NA,NA,5,12,5,12,7,NA,NA,5,12,NA,NA,-0.79,0.58,NA,42,61,NA,FALSE,49,7,"adaptive_acc","Adaptive","Accuracy"
"S090","s02-18","c02","Male","7","Academic",56,51,-5,1,10,9,NA,NA,10,9,-1,10,8,NA,NA,0.55,-0.25,NA,NA,56,NA,NA,51,FALSE,62,-1,"adaptive_full","Adaptive","Full"
"S091","s02-01","c02","Male","4","Academic",57,67,10,2,NA,NA,11,14,11,14,3,NA,NA,10,14,NA,NA,0.71,1.12,NA,57,67,NA,FALSE,NA,3,"linear_full","Linear","Full"
"S097","s03-18","c03","Female","2","Academic",61,57,-4,1,12,10,NA,NA,12,10,-2,12,10,NA,NA,1.12,0.25,NA,NA,61,NA,NA,57,FALSE,62,-2,"adaptive_acc","Adaptive","Accuracy"
"S098","s03-07","c03","Female","2","Academic",54,64,10,2,NA,NA,9,13,9,13,4,NA,NA,9,13,NA,NA,0.41,0.85,NA,54,64,NA,FALSE,62,4,"adaptive_full","Adaptive","Full"
"S099","s03-03","c03","Female","3","Academic",41,51,10,1,5,9,NA,NA,5,9,4,5,8,NA,NA,-0.86,-0.25,NA,NA,41,NA,NA,51,FALSE,NA,4,"linear_full","Linear","Full"
"S100","s03-08","c03","Female","7","Academic",63,58,-5,2,NA,NA,12,11,12,11,-1,NA,NA,12,11,NA,NA,1.31,0.31,NA,63,58,NA,FALSE,62,-1,"adaptive_acc","Adaptive","Accuracy"
"S101","s03-02","c03","Female","2","Academic",56,48,-8,1,11,7,NA,NA,11,7,-4,10,7,NA,NA,0.55,-0.49,NA,NA,56,NA,NA,48,FALSE,62,-4,"adaptive_full","Adaptive","Full"
"S102","s03-06","c03","Female","7","Academic",63,67,4,2,NA,NA,12,15,12,15,3,NA,NA,12,14,NA,NA,1.31,1.12,NA,63,67,NA,FALSE,NA,3,"linear_full","Linear","Full"
"S103","s03-10","c03","Female","6","Academic",61,78,17,1,13,18,NA,NA,13,18,5,12,17,NA,NA,1.12,1.99,NA,NA,61,NA,NA,78,FALSE,50,5,"adaptive_acc","Adaptive","Accuracy"
"S104","s03-16","c03","Female","7","Academic",42,53,11,2,NA,NA,5,9,5,9,4,NA,NA,5,9,NA,NA,-0.79,-0.23,NA,42,53,NA,FALSE,62,4,"adaptive_full","Adaptive","Full"
"S105","s03-15","c03","Female","7","Academic",50,54,4,1,8,10,NA,NA,8,10,2,8,9,NA,NA,-0.01,0,NA,NA,50,NA,NA,54,FALSE,NA,2,"linear_full","Linear","Full"
"S106","s03-09","c03","Female","8","Academic",57,73,16,2,NA,NA,10,16,10,16,6,NA,NA,10,16,NA,NA,0.71,1.66,NA,57,73,NA,FALSE,55,6,"adaptive_acc","Adaptive","Accuracy"
"S107","s03-12","c03","Male","7","Academic",47,45,-2,1,8,6,NA,NA,8,6,-2,7,6,NA,NA,-0.29,-0.74,NA,NA,47,NA,NA,45,FALSE,57,-2,"adaptive_full","Adaptive","Full"
"S108","s03-17","c03","Female","6","Academic",57,73,16,2,NA,NA,10,16,10,16,6,NA,NA,10,16,NA,NA,0.71,1.66,NA,57,73,NA,FALSE,NA,6,"linear_full","Linear","Full"
"S109","s03-13","c03","Male","6","Academic",50,54,4,1,8,9,NA,NA,8,9,1,8,9,NA,NA,-0.01,0,NA,NA,50,NA,NA,54,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
"S110","s03-11","c03","Male","6","Academic",63,76,13,2,NA,NA,12,17,12,17,5,NA,NA,12,17,NA,NA,1.31,1.93,NA,63,76,NA,FALSE,61,5,"adaptive_full","Adaptive","Full"
"S111","s03-04","c03","Male","5","Academic",56,54,-2,1,10,9,NA,NA,10,9,-1,10,9,NA,NA,0.55,0,NA,NA,56,NA,NA,54,FALSE,NA,-1,"linear_full","Linear","Full"
"S112","s03-14","c03","Male","3","Academic",54,61,7,2,NA,NA,9,13,9,13,4,NA,NA,9,12,NA,NA,0.41,0.58,NA,54,61,NA,FALSE,36,4,"adaptive_acc","Adaptive","Accuracy"
"S113","s03-01","c03","Female","6","Academic",44,63,19,1,6,13,NA,NA,6,13,7,6,12,NA,NA,-0.58,0.75,NA,NA,44,NA,NA,63,FALSE,62,7,"adaptive_full","Adaptive","Full"
"S114","s03-05","c03","Female","7","Academic",66,70,4,2,NA,NA,13,15,13,15,2,NA,NA,13,15,NA,NA,1.61,1.39,NA,66,70,NA,FALSE,NA,2,"linear_full","Linear","Full"
"S119","s04-17","c04","Female","2","Honors",58,63,5,1,12,12,NA,NA,12,12,0,11,12,NA,NA,0.84,0.75,NA,NA,58,NA,NA,63,FALSE,62,0,"adaptive_acc","Adaptive","Accuracy"
"S120","s04-03","c04","Female","3","Honors",51,70,19,2,NA,NA,9,16,9,16,7,NA,NA,8,15,NA,NA,0.11,1.39,NA,51,70,NA,FALSE,62,7,"adaptive_full","Adaptive","Full"
"S121","s04-12","c04","Female","2","Honors",70,81,11,1,15,19,NA,NA,15,19,4,15,18,NA,NA,1.97,2.24,NA,NA,70,NA,NA,81,FALSE,NA,4,"linear_full","Linear","Full"
"S122","s04-05","c04","Female","7","Honors",75,58,-17,2,NA,NA,16,12,16,12,-4,NA,NA,16,11,NA,NA,2.51,0.31,NA,75,58,NA,FALSE,62,-4,"adaptive_acc","Adaptive","Accuracy"
"S123","s04-13","c04","Female","6","Honors",56,72,16,1,10,16,NA,NA,10,16,6,10,15,NA,NA,0.55,1.49,NA,NA,56,NA,NA,72,FALSE,62,6,"adaptive_full","Adaptive","Full"
"S124","s04-06","c04","Male","6","Honors",57,70,13,2,NA,NA,12,15,12,15,3,NA,NA,10,15,NA,NA,0.71,1.39,NA,57,70,NA,FALSE,NA,3,"linear_full","Linear","Full"
"S125","s04-10","c04","Female","7","Honors",50,60,10,1,8,11,NA,NA,8,11,3,8,11,NA,NA,-0.01,0.5,NA,NA,50,NA,NA,60,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S126","s04-08","c04","Female","7","Honors",45,47,2,2,NA,NA,7,7,7,7,0,NA,NA,6,7,NA,NA,-0.49,-0.78,NA,45,47,NA,FALSE,62,0,"adaptive_full","Adaptive","Full"
"S127","s04-07","c04","Female","7","Honors",64,60,-4,1,13,11,NA,NA,13,11,-2,13,11,NA,NA,1.4,0.5,NA,NA,64,NA,NA,60,FALSE,NA,-2,"linear_full","Linear","Full"
"S128","s04-02","c04","Male","2","Honors",54,67,13,2,NA,NA,10,14,10,14,4,NA,NA,9,14,NA,NA,0.41,1.12,NA,54,67,NA,FALSE,62,4,"adaptive_acc","Adaptive","Accuracy"
"S129","s04-01","c04","Male","2","Honors",78,84,6,1,19,20,NA,NA,19,20,1,18,19,NA,NA,2.82,2.49,NA,NA,78,NA,NA,84,FALSE,62,1,"adaptive_full","Adaptive","Full"
"S130","s04-14","c04","Male","6","Honors",45,67,22,2,NA,NA,6,14,6,14,8,NA,NA,6,14,NA,NA,-0.49,1.12,NA,45,67,NA,FALSE,NA,8,"linear_full","Linear","Full"
"S131","s04-16","c04","Male","7","Honors",58,75,17,1,12,18,NA,NA,12,18,6,11,16,NA,NA,0.84,1.74,NA,NA,58,NA,NA,75,FALSE,62,6,"adaptive_acc","Adaptive","Accuracy"
"S132","s04-11","c04","Male","7","Honors",57,61,4,2,NA,NA,11,13,11,13,2,NA,NA,10,12,NA,NA,0.71,0.58,NA,57,61,NA,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S133","s04-18","c04","Male","7","Honors",50,54,4,1,8,10,NA,NA,8,10,2,8,9,NA,NA,-0.01,0,NA,NA,50,NA,NA,54,FALSE,NA,2,"linear_full","Linear","Full"
"S134","s04-09","c04","Male","6","Honors",60,67,7,2,NA,NA,12,15,12,15,3,NA,NA,11,14,NA,NA,1.01,1.12,NA,60,67,NA,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S135","s04-15","c04","Female","3","Honors",56,60,4,1,10,11,NA,NA,10,11,1,10,11,NA,NA,0.55,0.5,NA,NA,56,NA,NA,60,FALSE,62,1,"adaptive_full","Adaptive","Full"
"S136","s04-04","c04","Female","7","Honors",60,64,4,2,NA,NA,11,13,11,13,2,NA,NA,11,13,NA,NA,1.01,0.85,NA,60,64,NA,FALSE,NA,2,"linear_full","Linear","Full"
"S140","s05-11","c05","Female","6","Honors",39,48,9,1,4,8,NA,NA,4,8,4,4,7,NA,NA,-1.14,-0.49,NA,NA,39,NA,NA,48,FALSE,32,4,"adaptive_acc","Adaptive","Accuracy"
"S141","s05-07","c05","Female","3","Honors",57,53,-4,2,NA,NA,10,9,10,9,-1,NA,NA,10,9,NA,NA,0.71,-0.23,NA,57,53,NA,FALSE,62,-1,"adaptive_full","Adaptive","Full"
"S142","s05-06","c05","Female","7","Honors",50,57,7,1,8,10,NA,NA,8,10,2,8,10,NA,NA,-0.01,0.25,NA,NA,50,NA,NA,57,FALSE,NA,2,"linear_full","Linear","Full"
"S143","s05-03","c05","Female","7","Honors",63,67,4,2,NA,NA,12,15,12,15,3,NA,NA,12,14,NA,NA,1.31,1.12,NA,63,67,NA,FALSE,61,3,"adaptive_acc","Adaptive","Accuracy"
"S144","s05-10","c05","Female","7","Honors",64,69,5,1,14,16,NA,NA,14,16,2,13,14,NA,NA,1.4,1.25,NA,NA,64,NA,NA,69,FALSE,48,2,"adaptive_full","Adaptive","Full"
"S145","s05-08","c05","Female","7","Honors",45,47,2,2,NA,NA,6,7,6,7,1,NA,NA,6,7,NA,NA,-0.49,-0.78,NA,45,47,NA,FALSE,NA,1,"linear_full","Linear","Full"
"S146","s05-05","c05","Female","7","Honors",56,57,1,1,10,11,NA,NA,10,11,1,10,10,NA,NA,0.55,0.25,NA,NA,56,NA,NA,57,FALSE,43,1,"adaptive_acc","Adaptive","Accuracy"
"S147","s05-13","c05","Male","7","Honors",66,64,-2,2,NA,NA,13,13,13,13,0,NA,NA,13,13,NA,NA,1.61,0.85,NA,66,64,NA,FALSE,62,0,"adaptive_full","Adaptive","Full"
"S148","s05-09","c05","Female","8","Honors",50,66,16,1,8,13,NA,NA,8,13,5,8,13,NA,NA,-0.01,1,NA,NA,50,NA,NA,66,FALSE,NA,5,"linear_full","Linear","Full"
"S149","s05-14","c05","Female","7","Honors",60,70,10,2,NA,NA,12,16,12,16,4,NA,NA,11,15,NA,NA,1.01,1.39,NA,60,70,NA,FALSE,62,4,"adaptive_acc","Adaptive","Accuracy"
"S150","s05-16","c05","Male","7","Honors",53,72,19,1,9,16,NA,NA,9,16,7,9,15,NA,NA,0.27,1.49,NA,NA,53,NA,NA,72,FALSE,62,7,"adaptive_full","Adaptive","Full"
"S151","s05-12","c05","Female","2","Honors",57,70,13,2,NA,NA,10,15,10,15,5,NA,NA,10,15,NA,NA,0.71,1.39,NA,57,70,NA,FALSE,NA,5,"linear_full","Linear","Full"
"S152","s05-04","c05","Female","3","Honors",73,60,-13,1,17,11,NA,NA,17,11,-6,16,11,NA,NA,2.25,0.5,NA,NA,73,NA,NA,60,FALSE,52,-6,"adaptive_acc","Adaptive","Accuracy"
"S153","s05-17","c05","Male","7","Honors",48,70,22,2,NA,NA,7,16,7,16,9,NA,NA,7,15,NA,NA,-0.19,1.39,NA,48,70,NA,FALSE,62,9,"adaptive_full","Adaptive","Full"
"S154","s05-01","c05","Male","7","Honors",56,72,16,1,10,15,NA,NA,10,15,5,10,15,NA,NA,0.55,1.49,NA,NA,56,NA,NA,72,FALSE,NA,5,"linear_full","Linear","Full"
"S155","s05-15","c05","Male","6","Honors",45,58,13,2,NA,NA,6,12,6,12,6,NA,NA,6,11,NA,NA,-0.49,0.31,NA,45,58,NA,FALSE,59,6,"adaptive_acc","Adaptive","Accuracy"
"S156","s05-02","c05","Male","7","Honors",67,72,5,1,14,16,NA,NA,14,16,2,14,15,NA,NA,1.68,1.49,NA,NA,67,NA,NA,72,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S157","s06-07","c06","Female","8","Academic",47,54,7,1,7,11,NA,NA,7,11,4,7,9,NA,NA,-0.29,0,NA,NA,47,NA,NA,54,FALSE,62,4,"adaptive_acc","Adaptive","Accuracy"
"S158","s06-13","c06","Female","8","Academic",57,67,10,2,NA,NA,11,14,11,14,3,NA,NA,10,14,NA,NA,0.71,1.12,NA,57,67,NA,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S159","s06-02","c06","Female","7","Academic",47,48,1,1,7,9,NA,NA,7,9,2,7,7,NA,NA,-0.29,-0.49,NA,NA,47,NA,NA,48,FALSE,NA,2,"linear_full","Linear","Full"
