"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S283","s12-02","c12","Female","6","ELL",41,48,7,1,5,8,NA,NA,5,8,3,5,7,NA,NA,-0.86,-0.49,NA,NA,41,NA,NA,48,FALSE,NA,3,"linear_full","Linear","Full"
"S284","s12-01","c12","Male","4","ELL",36,39,3,2,NA,NA,3,4,3,4,1,NA,NA,3,4,NA,NA,-1.39,-1.59,NA,36,39,NA,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
"S285","s12-04","c12","Male","2","ELL",50,45,-5,1,9,6,NA,NA,9,6,-3,8,6,NA,NA,-0.01,-0.74,NA,NA,50,NA,NA,45,FALSE,62,-3,"adaptive_full","Adaptive","Full"
"S291","s13-06","c13","Female",NA,"Part 2",47,33,-14,1,7,2,NA,NA,7,2,-5,7,2,NA,NA,-0.29,-1.74,NA,NA,47,NA,NA,33,FALSE,62,-5,"adaptive_acc","Adaptive","Accuracy"
"S292","s13-09","c13","Male","6","Part 2",39,47,8,2,NA,NA,4,8,4,8,4,NA,NA,4,7,NA,NA,-1.09,-0.78,NA,39,47,NA,FALSE,62,4,"adaptive_full","Adaptive","Full"
"S293","s13-18","c13","Male","6","Regular",41,39,-2,1,6,4,NA,NA,6,4,-2,5,4,NA,NA,-0.86,-1.24,NA,NA,41,NA,NA,39,FALSE,NA,-2,"linear_full","Linear","Full"
"S294","s13-13","c13","Male","6","Regular",57,50,-7,2,NA,NA,10,9,10,9,-1,NA,NA,10,8,NA,NA,0.71,-0.5,NA,57,50,NA,FALSE,62,-1,"adaptive_acc","Adaptive","Accuracy"
"S295","s13-14","c13","Male","6","Regular",41,51,10,1,6,8,NA,NA,6,8,2,5,8,NA,NA,-0.86,-0.25,NA,NA,41,NA,NA,51,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S296","s13-08","c13","Male","3","Regular",48,39,-9,2,NA,NA,7,4,7,4,-3,NA,NA,7,4,NA,NA,-0.19,-1.59,NA,48,39,NA,FALSE,NA,-3,"linear_full","Linear","Full"
"S297","s13-07","c13","Female","3","Regular",44,51,7,1,6,8,NA,NA,6,8,2,6,8,NA,NA,-0.58,-0.25,NA,NA,44,NA,NA,51,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S298","s13-01","c13","Female","3","Regular",48,50,2,2,NA,NA,7,9,7,9,2,NA,NA,7,8,NA,NA,-0.19,-0.5,NA,48,50,NA,FALSE,40,2,"adaptive_full","Adaptive","Full"
"S299","s13-03","c13","Male","3","Regular",47,33,-14,1,8,2,NA,NA,8,2,-6,7,2,NA,NA,-0.29,-1.74,NA,NA,47,NA,NA,33,FALSE,NA,-6,"linear_full","Linear","Full"
"S300","s13-17","c13","Female","3","Regular",54,41,-13,2,NA,NA,9,5,9,5,-4,NA,NA,9,5,NA,NA,0.41,-1.32,NA,54,41,NA,FALSE,62,-4,"adaptive_acc","Adaptive","Accuracy"
"S301","s13-11","c13","Male","3","Regular",53,48,-5,1,9,7,NA,NA,9,7,-2,9,7,NA,NA,0.27,-0.49,NA,NA,53,NA,NA,48,FALSE,61,-2,"adaptive_full","Adaptive","Full"
"S302","s13-04","c13","Female","5","Regular",45,50,5,2,NA,NA,7,8,7,8,1,NA,NA,6,8,NA,NA,-0.49,-0.5,NA,45,50,NA,FALSE,NA,1,"linear_full","Linear","Full"
"S303","s13-15","c13","Female","3","Regular",44,57,13,1,6,12,NA,NA,6,12,6,6,10,NA,NA,-0.58,0.25,NA,NA,44,NA,NA,57,FALSE,45,6,"adaptive_acc","Adaptive","Accuracy"
"S304","s13-10","c13","Male","3","Regular",39,58,19,2,NA,NA,4,11,4,11,7,NA,NA,4,11,NA,NA,-1.09,0.31,NA,39,58,NA,FALSE,30,7,"adaptive_full","Adaptive","Full"
"S305","s13-12","c13","Female","6","Regular",53,60,7,1,10,11,NA,NA,10,11,1,9,11,NA,NA,0.27,0.5,NA,NA,53,NA,NA,60,FALSE,NA,1,"linear_full","Linear","Full"
"S306","s13-16","c13","Male","8","Regular",54,53,-1,2,NA,NA,9,10,9,10,1,NA,NA,9,9,NA,NA,0.41,-0.23,NA,54,53,NA,FALSE,44,1,"adaptive_acc","Adaptive","Accuracy"
"S307","s13-05","c13","Female","3","Part 2",44,57,13,1,6,12,NA,NA,6,12,6,6,10,NA,NA,-0.58,0.25,NA,NA,44,NA,NA,57,FALSE,61,6,"adaptive_full","Adaptive","Full"
"S308","s13-02","c13","Male","6","Part 2",42,36,-6,2,NA,NA,6,5,6,5,-1,NA,NA,5,3,NA,NA,-0.79,-1.86,NA,42,36,NA,FALSE,NA,-1,"linear_full","Linear","Full"
"S315","s14-06","c14","Female","7","Part 2",53,36,-17,1,10,4,NA,NA,10,4,-6,9,3,NA,NA,0.27,-1.49,NA,NA,53,NA,NA,36,FALSE,62,-6,"adaptive_acc","Adaptive","Accuracy"
"S316","s14-01","c14","Female","1","Regular",45,61,16,2,NA,NA,6,12,6,12,6,NA,NA,6,12,NA,NA,-0.49,0.58,NA,45,61,NA,FALSE,20,6,"adaptive_full","Adaptive","Full"
"S317","s14-03","c14","Female","7","Regular",47,60,13,1,7,11,NA,NA,7,11,4,7,11,NA,NA,-0.29,0.5,NA,NA,47,NA,NA,60,FALSE,NA,4,"linear_full","Linear","Full"
"S318","s14-04","c14","Female","7","Regular",45,53,8,2,NA,NA,7,9,7,9,2,NA,NA,6,9,NA,NA,-0.49,-0.23,NA,45,53,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S319","s14-02","c14","Male","7","Regular",44,45,1,1,6,7,NA,NA,6,7,1,6,6,NA,NA,-0.58,-0.74,NA,NA,44,NA,NA,45,FALSE,62,1,"adaptive_full","Adaptive","Full"
"S320","s14-05","c14","Female","2","Regular",51,56,5,2,NA,NA,8,10,8,10,2,NA,NA,8,10,NA,NA,0.11,0.04,NA,51,56,NA,FALSE,NA,2,"linear_full","Linear","Full"
"S323","s15-06","c15","Male","7","Academic",53,69,16,1,9,15,NA,NA,9,15,6,9,14,NA,NA,0.27,1.25,NA,NA,53,NA,NA,69,FALSE,62,6,"adaptive_acc","Adaptive","Accuracy"
"S324","s15-02","c15","Male","8","Academic",48,50,2,2,NA,NA,7,8,7,8,1,NA,NA,7,8,NA,NA,-0.19,-0.5,NA,48,50,NA,FALSE,62,1,"adaptive_full","Adaptive","Full"
"S325","s15-03","c15","Male","7","Academic",56,72,16,1,11,15,NA,NA,11,15,4,10,15,NA,NA,0.55,1.49,NA,NA,56,NA,NA,72,FALSE,NA,4,"linear_full","Linear","Full"
"S326","s15-12","c15","Male","6","Academic",57,67,10,2,NA,NA,11,14,11,14,3,NA,NA,10,14,NA,NA,0.71,1.12,NA,57,67,NA,FALSE,24,3,"adaptive_acc","Adaptive","Accuracy"
"S327","s15-05","c15","Female","6","Academic",36,48,12,1,4,7,NA,NA,4,7,3,3,7,NA,NA,-1.42,-0.49,NA,NA,36,NA,NA,48,FALSE,56,3,"adaptive_full","Adaptive","Full"
"S328","s15-04","c15","Female","3","Academic",60,50,-10,2,NA,NA,11,9,11,9,-2,NA,NA,11,8,NA,NA,1.01,-0.5,NA,60,50,NA,FALSE,NA,-2,"linear_full","Linear","Full"
"S329","s15-11","c15","Male","7","Academic",47,33,-14,1,7,2,NA,NA,7,2,-5,7,2,NA,NA,-0.29,-1.74,NA,NA,47,NA,NA,33,FALSE,62,-5,"adaptive_acc","Adaptive","Accuracy"
"S330","s15-16","c15","Male","6","Academic",54,61,7,2,NA,NA,10,12,10,12,2,NA,NA,9,12,NA,NA,0.41,0.58,NA,54,61,NA,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S331","s15-10","c15","Male","6","Academic",53,42,-11,1,9,6,NA,NA,9,6,-3,9,5,NA,NA,0.27,-0.99,NA,NA,53,NA,NA,42,FALSE,NA,-3,"linear_full","Linear","Full"
"S332","s15-09","c15","Female","7","Academic",54,67,13,2,NA,NA,10,15,10,15,5,NA,NA,9,14,NA,NA,0.41,1.12,NA,54,67,NA,FALSE,62,5,"adaptive_acc","Adaptive","Accuracy"
"S333","s15-08","c15","Female","7","Academic",67,75,8,1,14,17,NA,NA,14,17,3,14,16,NA,NA,1.68,1.74,NA,NA,67,NA,NA,75,FALSE,59,3,"adaptive_full","Adaptive","Full"
"S334","s15-01","c15","Female","7","Academic",45,64,19,2,NA,NA,7,13,7,13,6,NA,NA,6,13,NA,NA,-0.49,0.85,NA,45,64,NA,FALSE,NA,6,"linear_full","Linear","Full"
"S335","s15-14","c15","Male","2","Academic",61,66,5,1,12,13,NA,NA,12,13,1,12,13,NA,NA,1.12,1,NA,NA,61,NA,NA,66,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
"S336","s15-07","c15","Male","2","Part 2",39,47,8,2,NA,NA,5,7,5,7,2,NA,NA,4,7,NA,NA,-1.09,-0.78,NA,39,47,NA,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S337","s15-15","c15","Male","6","Part 2",44,51,7,1,6,8,NA,NA,6,8,2,6,8,NA,NA,-0.58,-0.25,NA,NA,44,NA,NA,51,FALSE,NA,2,"linear_full","Linear","Full"
"S338","s15-13","c15","Female","6","Academic",51,58,7,2,NA,NA,8,11,8,11,3,NA,NA,8,11,NA,NA,0.11,0.31,NA,51,58,NA,FALSE,58,3,"adaptive_acc","Adaptive","Accuracy"
"S069","#NULL!","c01","Male","7","Academic",50,63,13,1,8,12,NA,NA,8,12,4,8,12,NA,NA,-0.01,0.75,NA,NA,50,NA,NA,63,FALSE,NA,4,"control",NA,NA
"S070","#NULL!","c01","Female","2","Academic",42,56,14,2,NA,NA,5,11,5,11,6,NA,NA,5,10,NA,NA,-0.79,0.04,NA,42,56,NA,FALSE,NA,6,"control",NA,NA
"S071","#NULL!","c01","Female","7","Academic",64,60,-4,1,14,13,NA,NA,14,13,-1,13,11,NA,NA,1.4,0.5,NA,NA,64,NA,NA,60,FALSE,NA,-1,"control",NA,NA
"S072","#NULL!","c01","Female","7","Academic",51,61,10,2,NA,NA,9,12,9,12,3,NA,NA,8,12,NA,NA,0.11,0.58,NA,51,61,NA,FALSE,NA,3,"control",NA,NA
"S073","#NULL!","c01","Male","3","Academic",42,56,14,2,NA,NA,5,10,5,10,5,NA,NA,5,10,NA,NA,-0.79,0.04,NA,42,56,NA,FALSE,NA,5,"control",NA,NA
"S092","#NULL!","c02","Female","6","Academic",51,61,10,2,NA,NA,8,12,8,12,4,NA,NA,8,12,NA,NA,0.11,0.58,NA,51,61,NA,FALSE,NA,4,"control",NA,NA
"S093","#NULL!","c02","Male","7","Academic",53,48,-5,1,9,8,NA,NA,9,8,-1,9,7,NA,NA,0.27,-0.49,NA,NA,53,NA,NA,48,FALSE,NA,-1,"control",NA,NA
"S094","#NULL!","c02","Male","7","Academic",50,51,1,1,9,8,NA,NA,9,8,-1,8,8,NA,NA,-0.01,-0.25,NA,NA,50,NA,NA,51,FALSE,NA,-1,"control",NA,NA
"S095","#NULL!","c02","Male","8","Academic",47,60,13,1,7,11,NA,NA,7,11,4,7,11,NA,NA,-0.29,0.5,NA,NA,47,NA,NA,60,FALSE,NA,4,"control",NA,NA
"S096","#NULL!","c02","Male","7","Academic",67,72,5,1,14,15,NA,NA,14,15,1,14,15,NA,NA,1.68,1.49,NA,NA,67,NA,NA,72,FALSE,NA,1,"control",NA,NA
"S115","#NULL!","c03","Female","8","Academic",69,58,-11,2,NA,NA,14,11,14,11,-3,NA,NA,14,11,NA,NA,1.91,0.31,NA,69,58,NA,FALSE,NA,-3,"control",NA,NA
"S116","#NULL!","c03","Male","5","Academic",54,56,2,2,NA,NA,9,11,9,11,2,NA,NA,9,10,NA,NA,0.41,0.04,NA,54,56,NA,FALSE,NA,2,"control",NA,NA
"S117","#NULL!","c03","Male","6","Academic",45,56,11,2,NA,NA,6,11,6,11,5,NA,NA,6,10,NA,NA,-0.49,0.04,NA,45,56,NA,FALSE,NA,5,"control",NA,NA
"S118","#NULL!","c03","Male","6","Academic",50,51,1,1,9,9,NA,NA,9,9,0,8,8,NA,NA,-0.01,-0.25,NA,NA,50,NA,NA,51,FALSE,NA,0,"control",NA,NA
"S137","#NULL!","c04","Male","7","Honors",67,78,11,1,14,18,NA,NA,14,18,4,14,17,NA,NA,1.68,1.99,NA,NA,67,NA,NA,78,FALSE,NA,4,"control",NA,NA
"S138","#NULL!","c04","Male","8","Honors",51,53,2,2,NA,NA,8,9,8,9,1,NA,NA,8,9,NA,NA,0.11,-0.23,NA,51,53,NA,FALSE,NA,1,"control",NA,NA
"S139","#NULL!","c04","Male","8","Honors",61,72,11,1,13,15,NA,NA,13,15,2,12,15,NA,NA,1.12,1.49,NA,NA,61,NA,NA,72,FALSE,NA,2,"control",NA,NA
"S172","#NULL!","c06","Male","2","Academic",64,42,-22,1,13,5,NA,NA,13,5,-8,13,5,NA,NA,1.4,-0.99,NA,NA,64,NA,NA,42,TRUE,NA,-8,"control",NA,NA
"S173","#NULL!","c06","Female","6","Academic",42,41,-1,2,NA,NA,5,6,5,6,1,NA,NA,5,5,NA,NA,-0.79,-1.32,NA,42,41,NA,FALSE,NA,1,"control",NA,NA
"S174","#NULL!","c06","Male","7","Academic",50,51,1,1,8,9,NA,NA,8,9,1,8,8,NA,NA,-0.01,-0.25,NA,NA,50,NA,NA,51,FALSE,NA,1,"control",NA,NA
"S175","#NULL!","c06","Male","7","Academic",50,48,-2,1,9,8,NA,NA,9,8,-1,8,7,NA,NA,-0.01,-0.49,NA,NA,50,NA,NA,48,FALSE,NA,-1,"control",NA,NA
"S176","#NULL!","c06","Male","7","Academic",54,41,-13,2,NA,NA,9,6,9,6,-3,NA,NA,9,5,NA,NA,0.41,-1.32,NA,54,41,NA,FALSE,NA,-3,"control",NA,NA
"S190","#NULL!","c07","Male","3","Part 1",44,45,1,2,6,6,NA,NA,6,6,0,6,6,NA,NA,-0.58,-0.74,NA,NA,44,NA,NA,45,FALSE,NA,0,"control",NA,NA
"S191","#NULL!","c07","Male","3","Part 1",54,44,-10,1,NA,NA,9,6,9,6,-3,NA,NA,9,6,NA,NA,0.41,-1.05,NA,54,44,NA,FALSE,NA,-3,"control",NA,NA
"S192","#NULL!","c07","Male","7","Part 1",44,36,-8,2,6,3,NA,NA,6,3,-3,6,3,NA,NA,-0.58,-1.49,NA,NA,44,NA,NA,36,FALSE,NA,-3,"control",NA,NA
"S193","#NULL!","c07","Male","3","Part 1",54,61,7,1,NA,NA,10,13,10,13,3,NA,NA,9,12,NA,NA,0.41,0.58,NA,54,61,NA,FALSE,NA,3,"control",NA,NA
"S205","#NULL!","c08","Female","7","Part 1",56,45,-11,1,10,6,NA,NA,10,6,-4,10,6,NA,NA,0.55,-0.74,NA,NA,56,NA,NA,45,FALSE,NA,-4,"control",NA,NA
"S206","#NULL!","c08","Female","3","Part 1",51,53,2,2,NA,NA,9,9,9,9,0,NA,NA,8,9,NA,NA,0.11,-0.23,NA,51,53,NA,FALSE,NA,0,"control",NA,NA
"S207","#NULL!","c08","Female","3","Part 1",61,45,-16,1,12,6,NA,NA,12,6,-6,12,6,NA,NA,1.12,-0.74,NA,NA,61,NA,NA,45,FALSE,NA,-6,"control",NA,NA
"S224","#NULL!","c09","Male","8","Academic",47,54,7,1,7,9,NA,NA,7,9,2,7,9,NA,NA,-0.29,0,NA,NA,47,NA,NA,54,FALSE,NA,2,"control",NA,NA
"S225","#NULL!","c09","Male","6","Academic",36,56,20,2,NA,NA,3,10,3,10,7,NA,NA,3,10,NA,NA,-1.39,0.04,NA,36,56,NA,FALSE,NA,7,"control",NA,NA
"S226","#NULL!","c09","Male","7","Academic",64,66,2,1,13,13,NA,NA,13,13,0,13,13,NA,NA,1.4,1,NA,NA,64,NA,NA,66,FALSE,NA,0,"control",NA,NA
"S227","#NULL!","c09","Female","5","Academic",42,53,11,2,NA,NA,6,10,6,10,4,NA,NA,5,9,NA,NA,-0.79,-0.23,NA,42,53,NA,FALSE,NA,4,"control",NA,NA
"S244","#NULL!","c10","Female","7","Academic",70,57,-13,1,15,11,NA,NA,15,11,-4,15,10,NA,NA,1.97,0.25,NA,NA,70,NA,NA,57,FALSE,NA,-4,"control",NA,NA
"S245","#NULL!","c10","Female","8","Academic",72,78,6,2,NA,NA,15,18,15,18,3,NA,NA,15,18,NA,NA,2.21,2.2,NA,72,78,NA,FALSE,NA,3,"control",NA,NA
"S246","#NULL!","c10","Female","7","Academic",41,45,4,1,5,7,NA,NA,5,7,2,5,6,NA,NA,-0.86,-0.74,NA,NA,41,NA,NA,45,FALSE,NA,2,"control",NA,NA
"S247","#NULL!","c10","Male","3","Academic",45,41,-4,2,NA,NA,6,5,6,5,-1,NA,NA,6,5,NA,NA,-0.49,-1.32,NA,45,41,NA,FALSE,NA,-1,"control",NA,NA
"S248","#NULL!","c10","Female","6","Academic",47,48,1,1,7,7,NA,NA,7,7,0,7,7,NA,NA,-0.29,-0.49,NA,NA,47,NA,NA,48,FALSE,NA,0,"control",NA,NA
"S264","#NULL!","c11","Female","7","Academic",58,54,-4,1,11,9,NA,NA,11,9,-2,11,9,NA,NA,0.84,0,NA,NA,58,NA,NA,54,FALSE,NA,-2,"control",NA,NA
"S265","#NULL!","c11","Female","7","Academic",54,61,7,2,NA,NA,9,12,9,12,3,NA,NA,9,12,NA,NA,0.41,0.58,NA,54,61,NA,FALSE,NA,3,"control",NA,NA
"S266","#NULL!","c11","Male","7","Academic",50,51,1,1,9,9,NA,NA,9,9,0,8,8,NA,NA,-0.01,-0.25,NA,NA,50,NA,NA,51,FALSE,NA,0,"control",NA,NA
"S267","#NULL!","c11","Male","7","Academic",63,76,13,2,NA,NA,12,17,12,17,5,NA,NA,12,17,NA,NA,1.31,1.93,NA,63,76,NA,FALSE,NA,5,"control",NA,NA
"S268","#NULL!","c11","Male","7","Academic",58,72,14,1,11,15,NA,NA,11,15,4,11,15,NA,NA,0.84,1.49,NA,NA,58,NA,NA,72,FALSE,NA,4,"control",NA,NA
"S286","#NULL!","c12","Male","6","ELL",27,27,0,2,0,1,NA,NA,0,1,1,0,0,NA,NA,-2.27,-2.23,NA,NA,27,NA,NA,27,FALSE,NA,1,"control",NA,NA
"S287","#NULL!","c12","Female","6","ELL",30,36,6,1,NA,NA,1,3,1,3,2,NA,NA,1,3,NA,NA,-1.99,-1.86,NA,30,36,NA,FALSE,NA,2,"control",NA,NA
"S288","#NULL!","c12","Male",NA,"ELL",27,45,18,2,0,6,NA,NA,0,6,6,0,6,NA,NA,-2.27,-0.74,NA,NA,27,NA,NA,45,FALSE,NA,6,"control",NA,NA
"S289","#NULL!","c12","Male","6","ELL",33,50,17,1,NA,NA,3,8,3,8,5,NA,NA,2,8,NA,NA,-1.69,-0.5,NA,33,50,NA,FALSE,NA,5,"control",NA,NA
"S290","#NULL!","c12","Male","8","ELL",33,39,6,2,2,6,NA,NA,2,6,4,2,4,NA,NA,-1.71,-1.24,NA,NA,33,NA,NA,39,FALSE,NA,4,"control",NA,NA
"S309","#NULL!","c13","Female",NA,"Regular",41,36,-5,1,5,4,NA,NA,5,4,-1,5,3,NA,NA,-0.86,-1.49,NA,NA,41,NA,NA,36,FALSE,NA,-1,"control",NA,NA
"S310","#NULL!","c13","Male","7","Regular",45,36,-9,2,NA,NA,7,3,7,3,-4,NA,NA,6,3,NA,NA,-0.49,-1.86,NA,45,36,NA,FALSE,NA,-4,"control",NA,NA
"S311","#NULL!","c13","Male","3","Regular",41,33,-8,1,6,2,NA,NA,6,2,-4,5,2,NA,NA,-0.86,-1.74,NA,NA,41,NA,NA,33,FALSE,NA,-4,"control",NA,NA
"S312","#NULL!","c13","Male","3","Regular",36,47,11,2,NA,NA,4,7,4,7,3,NA,NA,3,7,NA,NA,-1.39,-0.78,NA,36,47,NA,FALSE,NA,3,"control",NA,NA
"S313","#NULL!","c13","Female","8","Regular",44,36,-8,1,6,3,NA,NA,6,3,-3,6,3,NA,NA,-0.58,-1.49,NA,NA,44,NA,NA,36,FALSE,NA,-3,"control",NA,NA
"S314","#NULL!","c13","Male","3","Regular",41,51,10,1,5,8,NA,NA,5,8,3,5,8,NA,NA,-0.86,-0.25,NA,NA,41,NA,NA,51,FALSE,NA,3,"control",NA,NA
"S321","#NULL!","c14","Female","4","Regular",33,33,0,1,2,2,NA,NA,2,2,0,2,2,NA,NA,-1.71,-1.74,NA,NA,33,NA,NA,33,FALSE,NA,0,"control",NA,NA
"S322","#NULL!","c14","Male","8","Regular",42,50,8,2,NA,NA,5,8,5,8,3,NA,NA,5,8,NA,NA,-0.79,-0.5,NA,42,50,NA,FALSE,NA,3,"control",NA,NA
"S339","#NULL!","c15","Female","3","Part 2",27,27,0,1,1,0,NA,NA,1,0,-1,0,0,NA,NA,-2.27,-2.23,NA,NA,27,NA,NA,27,FALSE,NA,-1,"control",NA,NA
"S340","#NULL!","c15","Male","7","Academic",48,58,10,2,NA,NA,7,11,7,11,4,NA,NA,7,11,NA,NA,-0.19,0.31,NA,48,58,NA,FALSE,NA,4,"control",NA,NA
"S341","#NULL!","c15","Female","7","Academic",53,57,4,1,9,10,NA,NA,9,10,1,9,10,NA,NA,0.27,0.25,NA,NA,53,NA,NA,57,FALSE,NA,1,"control",NA,NA
"S342","#NULL!","c15","Male","6","Academic",48,44,-4,2,NA,NA,8,6,8,6,-2,NA,NA,7,6,NA,NA,-0.19,-1.05,NA,48,44,NA,FALSE,NA,-2,"control",NA,NA
