"","tCommonRatio1a","tCommonRatio1b","tCommonRatio2a","tCommonRatio2b","tCommonRatio3a","tCommonRatio3b"
"1",NA,NA,NA,NA,NA,NA
"2",0,0,0,0,0,0
"3",0,0,0,1,0,0
"4",0,1,0,0,0,0
"5",1,1,0,0,0,0
"6",0,1,0,0,0,0
"7",1,1,1,1,0,0
"8",0,0,0,0,0,0
"9",1,1,1,1,0,0
"10",0,0,0,0,0,0
"11",0,0,0,0,0,0
"12",1,1,0,1,0,0
"13",1,1,1,1,0,0
"14",0,1,1,1,1,0
"15",1,0,0,1,0,0
"16",0,0,0,0,0,0
"17",0,0,0,0,0,0
"18",0,0,0,0,0,0
"19",1,1,0,1,0,NA
"20",0,1,0,1,0,0
"21",0,1,1,1,0,0
"22",1,1,0,0,0,0
"23",0,0,0,0,0,0
"24",0,0,0,0,0,0
"25",0,0,0,0,0,0
"26",1,1,1,1,0,0
"27",0,0,0,0,0,0
"28",1,1,0,1,0,0
"29",1,1,1,0,0,0
"30",1,1,1,1,0,0
"31",1,1,1,1,0,0
"32",0,1,1,1,0,0
"33",0,0,0,0,0,0
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",1,1,0,1,0,0
"37",0,0,1,1,0,0
"38",0,1,1,1,0,0
"39",0,0,1,0,0,0
"40",0,0,0,0,0,0
"41",1,1,1,1,1,1
"42",NA,NA,NA,NA,NA,NA
"43",0,0,0,0,0,0
"44",1,1,0,1,0,0
"45",NA,NA,1,1,NA,NA
"46",1,1,0,0,0,0
"47",1,1,1,1,0,1
"48",1,1,1,1,0,0
"49",1,NA,0,1,0,0
"50",0,1,1,1,0,0
"51",NA,NA,NA,NA,NA,NA
"52",1,1,1,1,0,0
"53",1,1,0,1,0,0
"54",1,1,1,1,0,0
"55",1,1,1,1,0,0
"56",1,1,1,1,0,0
"57",1,1,1,1,0,0
"58",1,1,1,1,0,0
"59",1,1,1,1,1,1
"60",0,1,0,1,0,0
"61",0,0,0,0,0,0
"62",1,1,1,1,0,0
"63",1,1,1,1,0,0
"64",1,1,1,1,0,0
"65",0,0,1,1,0,0
"66",1,1,1,0,0,1
"67",1,1,0,0,0,0
"68",1,1,1,1,0,0
"69",1,1,0,0,0,0
"70",1,1,1,1,0,0
"71",1,1,1,1,0,1
"72",NA,NA,0,1,1,NA
"73",1,1,0,1,0,0
"74",1,1,0,1,0,0
"75",1,1,1,1,0,0
"76",NA,NA,1,1,NA,NA
"77",1,1,0,1,0,0
"78",1,1,0,0,0,0
"79",0,0,0,1,0,0
"80",1,1,1,1,0,1
"81",1,1,1,1,0,0
"82",1,1,1,1,0,0
"83",1,1,1,1,0,0
"84",1,1,1,1,NA,NA
"85",0,0,1,1,0,0
"86",1,1,1,1,0,1
"87",1,1,1,1,0,0
"88",1,1,1,1,1,NA
"89",1,1,1,0,0,0
"90",1,1,1,1,0,NA
"91",0,0,1,1,0,0
"92",1,1,0,1,0,0
"93",1,1,1,1,0,0
"94",0,0,0,0,0,0
"95",0,0,0,0,0,0
"96",1,0,0,0,0,0
"97",0,0,0,0,0,0
"98",0,0,0,0,0,0
"99",0,1,0,1,0,0
"100",0,0,0,0,0,0
"101",0,1,0,1,0,1
"102",0,1,0,0,0,0
"103",0,1,1,1,0,0
"104",0,0,0,1,0,0
"105",0,1,0,0,0,0
"106",0,1,1,0,0,0
"107",0,1,0,0,0,0
"108",0,0,0,0,0,0
"109",0,1,1,1,0,0
"110",0,0,0,0,0,0
"111",0,0,0,0,0,0
"112",1,1,0,0,0,0
"113",0,0,0,0,0,0
"114",0,0,1,0,0,1
"115",0,0,0,0,0,0
"116",0,0,0,0,0,0
"117",1,0,0,0,0,0
"118",0,0,0,0,0,0
"119",0,0,0,0,0,0
"120",0,0,0,0,0,0
"121",0,0,0,1,0,0
"122",1,1,0,0,0,0
"123",1,1,0,1,1,1
"124",0,1,1,1,1,1
"125",0,0,0,0,0,0
"126",1,1,0,1,0,0
"127",NA,NA,NA,NA,NA,NA
"128",0,0,0,0,0,0
"129",0,0,0,0,0,0
"130",0,1,0,0,0,0
"131",0,0,1,0,0,0
"132",0,0,1,0,1,0
"133",1,1,0,0,0,0
"134",0,1,1,1,1,1
"135",1,1,1,1,0,0
"136",1,1,0,1,0,0
"137",1,1,1,1,0,0
"138",0,1,1,0,0,0
"139",1,1,1,1,0,0
"140",1,1,0,0,0,0
"141",1,1,0,0,0,0
"142",0,0,0,0,0,0
"143",0,0,1,1,0,0
"144",0,0,0,0,0,0
"145",1,1,1,1,0,1
"146",0,0,1,1,0,NA
"147",1,1,0,0,0,0
"148",1,1,1,1,1,1
"149",0,0,0,0,0,0
"150",1,1,0,1,1,1
"151",0,1,0,0,0,0
"152",0,1,0,0,0,0
"153",1,1,0,1,1,1
"154",1,1,1,1,0,0
"155",1,1,1,1,0,0
"156",1,1,1,1,1,1
"157",0,1,1,0,0,0
"158",1,1,1,1,0,0
"159",0,1,0,0,0,0
"160",1,1,0,1,1,0
"161",0,1,1,1,0,0
"162",0,0,0,0,0,0
"163",0,1,0,0,0,0
"164",1,1,1,1,0,1
"165",1,1,0,0,1,0
"166",0,0,0,1,0,0
"167",1,1,0,1,0,0
"168",0,1,0,1,0,0
"169",1,1,1,1,0,NA
"170",0,0,1,1,0,0
"171",1,1,1,1,0,0
"172",1,1,0,0,0,0
"173",1,1,0,0,0,0
"174",1,1,0,0,0,0
"175",1,0,0,0,0,0
"176",0,1,0,0,0,0
"177",1,NA,0,0,0,1
"178",0,0,0,0,0,0
"179",0,0,0,0,0,0
"180",0,0,0,0,0,0
"181",NA,NA,0,0,NA,NA
"182",0,0,0,0,0,0
"183",1,0,0,0,0,0
"184",NA,NA,NA,NA,NA,NA
"185",0,1,0,0,0,0
"186",1,0,0,0,0,0
"187",NA,NA,0,1,0,NA
"188",0,0,0,0,0,0
"189",0,0,0,0,0,0
"190",0,0,0,0,0,0
"191",0,0,0,0,0,0
"192",0,0,0,0,0,0
"193",0,0,0,0,0,0
"194",0,0,0,0,0,0
"195",0,0,0,0,0,0
"196",1,1,1,0,1,0
"197",0,0,0,0,0,0
"198",NA,NA,0,0,1,1
"199",0,0,0,0,0,1
"200",0,0,0,0,0,0
"201",0,0,0,0,0,0
"202",0,1,0,1,0,0
"203",0,0,0,0,0,0
"204",NA,NA,NA,NA,NA,NA
"205",1,1,1,1,1,1
"206",1,1,0,1,0,0
"207",1,0,0,0,0,0
"208",0,0,0,0,0,0
"209",0,0,0,1,0,0
"210",NA,NA,NA,NA,NA,NA
"211",0,1,1,1,0,0
"212",0,1,1,0,0,0
"213",0,0,0,0,0,0
"214",0,1,0,0,0,0
"215",1,NA,1,1,0,0
"216",1,1,0,1,0,0
"217",1,1,1,1,0,1
"218",1,NA,NA,NA,NA,NA
"219",0,0,1,0,0,0
"220",1,1,0,1,1,1
"221",1,1,0,0,1,0
"222",0,0,0,0,0,0
"223",0,0,1,1,0,0
"224",0,0,0,0,0,0
"225",1,1,1,1,1,1
"226",1,1,1,1,0,0
"227",1,1,1,1,0,NA
"228",0,0,0,0,0,0
"229",0,0,0,0,0,0
"230",0,0,0,0,0,0
